Date,Time,Total_Wind_Power(MWh)
20161101,1,301.973
20161101,2,232.047
20161101,3,239.350
20161101,4,320.013
20161101,5,474.415
20161101,6,629.875
20161101,7,767.915
20161101,8,959.450
20161101,9,1222.578
20161101,10,1532.829
20161101,11,1777.993
20161101,12,1976.839
20161101,13,2175.188
20161101,14,2212.802
20161101,15,2327.991
20161101,16,2619.722
20161101,17,2812.700
20161101,18,2786.253
20161101,19,3095.427
20161101,20,3156.029
20161101,21,3002.638
20161101,22,2913.915
20161101,23,2779.986
20161101,0,2827.352
20161102,1,2880.312
20161102,2,3007.151
20161102,3,3158.528
20161102,4,3310.500
20161102,5,3442.539
20161102,6,3641.291
20161102,7,3697.963
20161102,8,3743.489
20161102,9,3938.562
20161102,10,4117.591
20161102,11,4304.041
20161102,12,4377.367
20161102,13,4382.026
20161102,14,4424.977
20161102,15,4347.654
20161102,16,4306.588
20161102,17,4209.629
20161102,18,4212.853
20161102,19,4358.574
20161102,20,4321.024
20161102,21,4226.064
20161102,22,4202.214
20161102,23,4204.662
20161102,0,4228.275
20161103,1,4260.466
20161103,2,4134.340
20161103,3,4196.111
20161103,4,4053.265
20161103,5,3984.914
20161103,6,3878.774
20161103,7,3798.528
20161103,8,3657.440
20161103,9,3490.966
20161103,10,3452.778
20161103,11,3352.852
20161103,12,3254.164
20161103,13,3179.952
20161103,14,2908.226
20161103,15,2558.400
20161103,16,2253.899
20161103,17,2088.749
20161103,18,1784.239
20161103,19,1677.113
20161103,20,1590.964
20161103,21,1535.464
20161103,22,1367.474
20161103,23,1295.064
20161103,0,1332.875
20161104,1,1323.516
20161104,2,1227.751
20161104,3,1189.477
20161104,4,1157.127
20161104,5,1120.149
20161104,6,1137.311
20161104,7,1224.338
20161104,8,1380.739
20161104,9,1309.249
20161104,10,1102.641
20161104,11,932.398
20161104,12,883.488
20161104,13,899.301
20161104,14,952.011
20161104,15,988.526
20161104,16,1042.716
20161104,17,1292.048
20161104,18,1593.691
20161104,19,1823.765
20161104,20,1911.112
20161104,21,1834.339
20161104,22,1758.027
20161104,23,1645.488
20161104,0,1621.303
20161105,1,1535.154
20161105,2,1466.577
20161105,3,1492.713
20161105,4,1481.340
20161105,5,1505.847
20161105,6,1586.129
20161105,7,1642.364
20161105,8,1635.561
20161105,9,1540.003
20161105,10,1335.703
20161105,11,1281.351
20161105,12,1308.514
20161105,13,1412.252
20161105,14,1620.979
20161105,15,1877.654
20161105,16,2120.800
20161105,17,2449.064
20161105,18,2827.615
20161105,19,2699.807
20161105,20,2349.987
20161105,21,2022.424
20161105,22,2041.913
20161105,23,2003.851
20161105,0,1886.139
20161106,1,1676.967
20161106,2,1489.740
20161106,3,1399.825
20161106,4,1179.541
20161106,5,1163.978
20161106,6,1171.942
20161106,7,1123.738
20161106,8,928.638
20161106,9,808.400
20161106,10,675.128
20161106,11,542.928
20161106,12,598.978
20161106,13,550.699
20161106,14,412.823
20161106,15,240.546
20161106,16,229.464
20161106,17,248.088
20161106,18,341.036
20161106,19,437.050
20161106,20,379.888
20161106,21,414.765
20161106,22,380.913
20161106,23,370.712
20161106,0,364.966
20161107,1,353.712
20161107,2,391.200
20161107,3,446.721
20161107,4,526.788
20161107,5,516.750
20161107,6,512.163
20161107,7,566.175
20161107,8,603.249
20161107,9,694.779
20161107,10,711.060
20161107,11,617.927
20161107,12,732.102
20161107,13,783.527
20161107,14,812.386
20161107,15,802.387
20161107,16,847.423
20161107,17,972.701
20161107,18,1028.226
20161107,19,936.214
20161107,20,924.888
20161107,21,812.161
20161107,22,833.624
20161107,23,836.438
20161107,0,792.264
20161108,1,801.812
20161108,2,695.185
20161108,3,538.186
20161108,4,447.556
20161108,5,348.936
20161108,6,276.860
20161108,7,271.926
20161108,8,225.373
20161108,9,190.780
20161108,10,167.211
20161108,11,144.198
20161108,12,128.459
20161108,13,117.972
20161108,14,140.338
20161108,15,147.408
20161108,16,211.022
20161108,17,362.471
20161108,18,552.971
20161108,19,746.900
20161108,20,893.923
20161108,21,1012.849
20161108,22,1058.440
20161108,23,1047.539
20161108,0,1019.791
20161109,1,915.749
20161109,2,845.303
20161109,3,802.525
20161109,4,793.315
20161109,5,688.838
20161109,6,619.687
20161109,7,582.938
20161109,8,533.625
20161109,9,413.524
20161109,10,280.036
20161109,11,216.396
20161109,12,175.222
20161109,13,179.360
20161109,14,197.545
20161109,15,182.631
20161109,16,191.983
20161109,17,214.095
20161109,18,249.223
20161109,19,290.333
20161109,20,322.757
20161109,21,384.299
20161109,22,398.536
20161109,23,418.620
20161109,0,411.994
20161110,1,422.598
20161110,2,351.974
20161110,3,353.474
20161110,4,402.813
20161110,5,424.661
20161110,6,449.685
20161110,7,400.196
20161110,8,380.909
20161110,9,358.360
20161110,10,300.959
