Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20181001;1;1600,064;
20181001;2;1372,988;
20181001;3;1159,043;
20181001;4;996,777;
20181001;5;893,240;
20181001;6;797,514;
20181001;7;763,313;
20181001;8;748,876;
20181001;9;526,065;
20181001;10;238,225;
20181001;11;200,920;
20181001;12;259,722;
20181001;13;328,674;
20181001;14;384,668;
20181001;15;415,849;
20181001;16;461,429;
20181001;17;451,941;
20181001;18;562,702;
20181001;19;578,116;
20181001;20;634,286;
20181001;21;815,988;
20181001;22;999,550;
20181001;23;1126,264;
20181001;24;1285,241;
20181002;1;1385,974;
20181002;2;1441,588;
20181002;3;1623,304;
20181002;4;1744,216;
20181002;5;1720,353;
20181002;6;1721,528;
20181002;7;1841,903;
20181002;8;1910,416;
20181002;9;1968,401;
20181002;10;2100,603;
20181002;11;2347,354;
20181002;12;2570,139;
20181002;13;2879,882;
20181002;14;3324,614;
20181002;15;3543,988;
20181002;16;3742,378;
20181002;17;3862,180;
20181002;18;3784,193;
20181002;19;3879,264;
20181002;20;4181,054;
20181002;21;4447,191;
20181002;22;4510,153;
20181002;23;4505,630;
20181002;24;4647,841;
20181003;1;4788,718;
20181003;2;4776,979;
20181003;3;4807,916;
20181003;4;4789,767;
20181003;5;4781,451;
20181003;6;4906,278;
20181003;7;5019,806;
20181003;8;4984,228;
20181003;9;5025,506;
20181003;10;5079,641;
20181003;11;5020,543;
20181003;12;5060,866;
20181003;13;5003,591;
20181003;14;4953,916;
20181003;15;4928,530;
20181003;16;4847,904;
20181003;17;4553,566;
20181003;18;4323,718;
20181003;19;4027,692;
20181003;20;3885,839;
20181003;21;3773,565;
20181003;22;3850,690;
20181003;23;3781,078;
20181003;24;3662,829;
20181004;1;3402,641;
20181004;2;3294,618;
20181004;3;3212,990;
20181004;4;3022,680;
20181004;5;3062,225;
20181004;6;2809,770;
20181004;7;2657,307;
20181004;8;2509,826;
20181004;9;2082,491;
20181004;10;1657,252;
20181004;11;1603,953;
20181004;12;1690,776;
20181004;13;1848,128;
20181004;14;1782,389;
20181004;15;1684,189;
20181004;16;1544,999;
20181004;17;1165,701;
20181004;18;925,239;
20181004;19;883,665;
20181004;20;1092,967;
20181004;21;1329,613;
20181004;22;1473,544;
20181004;23;1556,931;
20181004;24;1673,003;
20181005;1;1663,829;
20181005;2;1630,492;
20181005;3;1673,453;
20181005;4;1676,590;
20181005;5;1673,317;
20181005;6;1651,507;
20181005;7;1663,129;
20181005;8;1677,216;
20181005;9;1523,841;
20181005;10;1281,814;
20181005;11;1165,977;
20181005;12;1111,929;
20181005;13;1097,613;
20181005;14;1275,314;
20181005;15;1253,958;
20181005;16;1123,194;
20181005;17;974,582;
20181005;18;906,231;
20181005;19;1338,268;
20181005;20;1891,342;
20181005;21;2251,278;
20181005;22;2546,041;
20181005;23;2700,718;
20181005;24;2830,378;
20181006;1;2710,402;
20181006;2;2649,763;
20181006;3;2633,595;
20181006;4;2545,607;
20181006;5;2540,266;
20181006;6;2544,519;
20181006;7;2504,353;
20181006;8;2473,937;
20181006;9;2039,665;
20181006;10;1308,229;
20181006;11;1021,867;
20181006;12;1058,967;
20181006;13;1252,504;
20181006;14;1375,092;
20181006;15;1381,667;
20181006;16;1278,378;
20181006;17;1047,880;
20181006;18;1049,929;
20181006;19;1402,705;
20181006;20;1791,177;
20181006;21;2097,081;
20181006;22;2217,092;
20181006;23;2258,540;
20181006;24;2187,641;
20181007;1;2084,279;
20181007;2;1919,960;
20181007;3;1730,704;
20181007;4;1545,976;
20181007;5;1504,640;
20181007;6;1663,938;
20181007;7;1917,166;
20181007;8;2066,916;
20181007;9;2222,954;
20181007;10;2175,065;
20181007;11;1978,204;
20181007;12;2102,982;
20181007;13;2337,740;
20181007;14;2588,375;
20181007;15;2691,941;
20181007;16;2743,605;
20181007;17;2645,018;
20181007;18;2454,639;
20181007;19;2255,867;
20181007;20;1890,244;
20181007;21;1473,876;
20181007;22;1109,628;
20181007;23;889,663;
20181007;24;704,463;
20181008;1;537,137;
20181008;2;416,110;
20181008;3;353,849;
20181008;4;290,536;
20181008;5;241,249;
20181008;6;171,922;
20181008;7;118,894;
20181008;8;181,000;
20181008;9;211,936;
20181008;10;174,998;
20181008;11;113,987;
20181008;12;194,409;
20181008;13;263,121;
20181008;14;248,083;
20181008;15;231,749;
20181008;16;205,597;
20181008;17;179,697;
20181008;18;185,924;
20181008;19;339,636;
20181008;20;617,449;
20181008;21;823,937;
20181008;22;985,652;
20181008;23;1103,230;
20181008;24;1079,375;
20181009;1;1064,963;
20181009;2;1116,749;
20181009;3;1053,618;
20181009;4;1003,443;
20181009;5;857,001;
20181009;6;838,291;
20181009;7;766,902;
20181009;8;789,589;
20181009;9;664,027;
20181009;10;460,641;
20181009;11;305,027;
20181009;12;314,274;
20181009;13;436,486;
20181009;14;447,410;
20181009;15;368,899;
20181009;16;290,298;
20181009;17;241,787;
20181009;18;300,210;
20181009;19;509,351;
20181009;20;785,752;
20181009;21;924,694;
20181009;22;1093,667;
20181009;23;1067,827;
20181009;24;957,653;
20181010;1;920,465;
20181010;2;872,065;
20181010;3;756,711;
20181010;4;585,579;
20181010;5;470,447;
20181010;6;350,386;
20181010;7;274,199;
20181010;8;188,426;
20181010;9;121,348;
20181010;10;76,926;
20181010;11;50,497;
20181010;12;51,907;
20181010;13;69,109;
20181010;14;82,884;
20181010;15;100,207;
20181010;16;129,746;
20181010;17;179,473;
20181010;18;289,011;
20181010;19;614,038;
20181010;20;1124,501;
20181010;21;1533,441;
20181010;22;1902,054;
20181010;23;2108,252;
20181010;24;2120,065;
20181011;1;1948,490;
20181011;2;1835,787;
20181011;3;1781,102;
20181011;4;1868,177;
20181011;5;1893,839;
20181011;6;2060,929;
20181011;7;2203,865;
20181011;8;2383,091;
20181011;9;2227,692;
20181011;10;1528,389;
20181011;11;1046,454;
20181011;12;966,603;
20181011;13;1006,255;
20181011;14;1123,401;
20181011;15;1278,351;
20181011;16;1394,077;
20181011;17;1713,929;
20181011;18;2230,753;
20181011;19;3100,041;
20181011;20;3544,789;
20181011;21;3687,476;
20181011;22;3684,089;
20181011;23;3494,377;
20181011;24;3233,556;
20181012;1;3110,543;
20181012;2;2863,767;
20181012;3;2705,542;
20181012;4;2573,189;
20181012;5;2531,529;
20181012;6;2504,593;
20181012;7;2419,676;
20181012;8;2379,280;
20181012;9;1997,580;
20181012;10;1201,629;
20181012;11;661,165;
20181012;12;612,136;
20181012;13;658,988;
20181012;14;696,177;
20181012;15;708,427;
20181012;16;747,786;
20181012;17;793,388;
20181012;18;964,154;
20181012;19;1527,429;
20181012;20;1933,064;
20181012;21;2218,013;
20181012;22;2377,706;
20181012;23;2256,201;
20181012;24;2005,476;
20181013;1;1736,191;
20181013;2;1582,026;
20181013;3;1394,677;
20181013;4;1197,538;
20181013;5;997,126;
20181013;6;900,227;
20181013;7;865,880;
20181013;8;933,790;
20181013;9;958,204;
20181013;10;697,438;
20181013;11;314,787;
20181013;12;227,596;
20181013;13;319,286;
20181013;14;471,424;
20181013;15;507,077;
20181013;16;463,593;
20181013;17;506,805;
20181013;18;856,804;
20181013;19;1598,914;
20181013;20;2355,029;
20181013;21;2771,467;
20181013;22;2871,940;
20181013;23;2969,077;
20181013;24;2913,677;
20181014;1;2777,252;
20181014;2;2539,542;
20181014;3;2397,139;
20181014;4;2190,152;
20181014;5;2230,604;
20181014;6;2405,378;
20181014;7;2530,351;
20181014;8;2618,102;
20181014;9;2401,651;
20181014;10;1786,581;
20181014;11;1323,791;
20181014;12;1437,466;
20181014;13;1623,016;
20181014;14;1933,641;
20181014;15;2115,004;
20181014;16;2084,779;
20181014;17;2028,454;
20181014;18;2402,116;
20181014;19;3048,951;
20181014;20;3410,479;
20181014;21;3612,418;
20181014;22;3511,393;
20181014;23;3343,456;
20181014;24;3242,327;
20181015;1;3135,341;
20181015;2;3032,095;
20181015;3;2929,978;
20181015;4;2841,292;
20181015;5;2847,479;
20181015;6;2792,205;
20181015;7;2610,381;
20181015;8;2641,979;
20181015;9;2358,415;
20181015;10;1681,980;
20181015;11;1087,604;
20181015;12;900,515;
20181015;13;891,328;
20181015;14;930,015;
20181015;15;966,165;
20181015;16;1131,080;
20181015;17;1209,666;
20181015;18;1567,805;
20181015;19;2212,612;
20181015;20;2678,989;
20181015;21;2593,755;
20181015;22;2579,890;
20181015;23;2603,883;
20181015;24;2494,179;
20181016;1;2390,337;
20181016;2;2098,431;
20181016;3;1731,028;
20181016;4;1410,005;
20181016;5;1242,576;
20181016;6;1128,552;
20181016;7;935,850;
20181016;8;738,928;
20181016;9;707,150;
20181016;10;614,392;
20181016;11;325,364;
20181016;12;182,649;
20181016;13;157,996;
20181016;14;164,969;
20181016;15;164,134;
20181016;16;161,585;
20181016;17;192,535;
20181016;18;350,922;
20181016;19;687,150;
20181016;20;852,125;
20181016;21;1049,575;
20181016;22;1099,939;
20181016;23;1076,178;
20181016;24;1153,477;
20181017;1;1037,913;
20181017;2;785,776;
20181017;3;589,626;
20181017;4;420,676;
20181017;5;293,474;
20181017;6;246,311;
20181017;7;213,689;
20181017;8;229,924;
20181017;9;241,901;
20181017;10;244,196;
20181017;11;162,310;
20181017;12;83,194;
20181017;13;71,034;
20181017;14;95,794;
20181017;15;111,759;
20181017;16;110,182;
20181017;17;129,144;
20181017;18;235,739;
20181017;19;405,791;
20181017;20;599,412;
20181017;21;713,964;
20181017;22;622,028;
20181017;23;578,987;
20181017;24;466,125;
20181018;1;334,149;
20181018;2;261,573;
20181018;3;227,236;
20181018;4;176,962;
20181018;5;176,119;
20181018;6;156,319;
20181018;7;146,200;
20181018;8;138,472;
20181018;9;129,847;
20181018;10;106,909;
20181018;11;63,834;
20181018;12;33,436;
20181018;13;40,894;
20181018;14;53,972;
20181018;15;47,410;
20181018;16;86,308;
20181018;17;134,775;
20181018;18;169,001;
20181018;19;178,086;
20181018;20;288,135;
20181018;21;444,617;
20181018;22;540,299;
20181018;23;639,127;
20181018;24;771,677;
20181019;1;824,267;
20181019;2;759,624;
20181019;3;676,903;
20181019;4;599,629;
20181019;5;448,303;
20181019;6;354,979;
20181019;7;342,725;
20181019;8;309,271;
20181019;9;253,684;
20181019;10;157,535;
20181019;11;124,642;
20181019;12;93,894;
20181019;13;85,920;
20181019;14;93,032;
20181019;15;113,074;
20181019;16;126,697;
