Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20160601;1;1264,738;
20160601;2;1076,011;
20160601;3;1062,002;
20160601;4;1077,687;
20160601;5;1014,186;
20160601;6;960,213;
20160601;7;773,563;
20160601;8;680,311;
20160601;9;666,164;
20160601;10;803,490;
20160601;11;884,159;
20160601;12;937,699;
20160601;13;885,385;
20160601;14;699,261;
20160601;15;550,411;
20160601;16;479,414;
20160601;17;568,611;
20160601;18;838,386;
20160601;19;1023,302;
20160601;20;992,494;
20160601;21;875,502;
20160601;22;864,475;
20160601;23;717,173;
20160601;24;859,913;
20160602;1;791,599;
20160602;2;790,098;
20160602;3;787,187;
20160602;4;869,525;
20160602;5;904,253;
20160602;6;801,599;
20160602;7;625,347;
20160602;8;487,623;
20160602;9;447,725;
20160602;10;555,350;
20160602;11;715,590;
20160602;12;821,101;
20160602;13;906,788;
20160602;14;1042,274;
20160602;15;1017,725;
20160602;16;866,940;
20160602;17;885,853;
20160602;18;1035,962;
20160602;19;792,147;
20160602;20;688,542;
20160602;21;763,449;
20160602;22;969,325;
20160602;23;1155,379;
20160602;24;1142,712;
20160603;1;1095,910;
20160603;2;1057,698;
20160603;3;961,300;
20160603;4;891,876;
20160603;5;826,732;
20160603;6;798,537;
20160603;7;628,464;
20160603;8;361,124;
20160603;9;318,482;
20160603;10;446,395;
20160603;11;646,860;
20160603;12;690,899;
20160603;13;652,734;
20160603;14;628,073;
20160603;15;598,676;
20160603;16;570,325;
20160603;17;521,846;
20160603;18;458,819;
20160603;19;392,687;
20160603;20;374,710;
20160603;21;397,162;
20160603;22;406,363;
20160603;23;320,148;
20160603;24;262,462;
20160604;1;211,085;
20160604;2;163,471;
20160604;3;170,658;
20160604;4;171,582;
20160604;5;154,022;
20160604;6;127,671;
20160604;7;113,094;
20160604;8;61,871;
20160604;9;66,093;
20160604;10;127,034;
20160604;11;192,085;
20160604;12;233,748;
20160604;13;296,825;
20160604;14;281,946;
20160604;15;436,124;
20160604;16;626,960;
20160604;17;886,523;
20160604;18;869,912;
20160604;19;696,963;
20160604;20;501,599;
20160604;21;583,174;
20160604;22;770,797;
20160604;23;771,735;
20160604;24;815,552;
20160605;1;821,173;
20160605;2;861,652;
20160605;3;894,075;
20160605;4;892,775;
20160605;5;904,461;
20160605;6;891,472;
20160605;7;604,898;
20160605;8;396,422;
20160605;9;390,501;
20160605;10;417,419;
20160605;11;492,271;
20160605;12;588,871;
20160605;13;795,124;
20160605;14;977,426;
20160605;15;1151,663;
20160605;16;1234,440;
20160605;17;1349,687;
20160605;18;1426,285;
20160605;19;1368,012;
20160605;20;1362,092;
20160605;21;1138,624;
20160605;22;1277,902;
20160605;23;1433,160;
20160605;24;1479,837;
20160606;1;1537,988;
20160606;2;1555,866;
20160606;3;1661,461;
20160606;4;1599,223;
20160606;5;1509,510;
20160606;6;1197,255;
20160606;7;815,439;
20160606;8;770,252;
20160606;9;836,174;
20160606;10;697,288;
20160606;11;684,872;
20160606;12;652,499;
20160606;13;663,375;
20160606;14;687,037;
20160606;15;712,227;
20160606;16;733,275;
20160606;17;814,970;
20160606;18;821,491;
20160606;19;826,916;
20160606;20;790,676;
20160606;21;831,252;
20160606;22;1002,815;
20160606;23;1125,912;
20160606;24;1134,351;
20160607;1;1037,825;
20160607;2;869,739;
20160607;3;740,959;
20160607;4;613,813;
20160607;5;533,948;
20160607;6;465,912;
20160607;7;299,207;
20160607;8;73,270;
20160607;9;32,180;
20160607;10;40,656;
20160607;11;38,554;
20160607;12;38,594;
20160607;13;34,358;
20160607;14;40,759;
20160607;15;49,121;
20160607;16;67,832;
20160607;17;66,508;
20160607;18;50,257;
20160607;19;39,370;
20160607;20;38,545;
20160607;21;44,058;
20160607;22;65,436;
20160607;23;119,110;
20160607;24;227,851;
20160608;1;447,539;
20160608;2;686,836;
20160608;3;865,473;
20160608;4;995,210;
20160608;5;1070,987;
20160608;6;1141,801;
20160608;7;1039,790;
20160608;8;568,849;
20160608;9;412,972;
20160608;10;536,783;
20160608;11;647,198;
20160608;12;788,851;
20160608;13;957,600;
20160608;14;1102,176;
20160608;15;1209,724;
20160608;16;1302,402;
20160608;17;1358,712;
20160608;18;1319,212;
20160608;19;1041,764;
20160608;20;879,490;
20160608;21;877,874;
20160608;22;1064,699;
20160608;23;994,690;
20160608;24;1110,074;
20160609;1;1224,176;
20160609;2;1122,202;
20160609;3;1071,162;
20160609;4;984,611;
20160609;5;885,540;
20160609;6;820,912;
20160609;7;562,185;
20160609;8;369,123;
20160609;9;362,920;
20160609;10;321,961;
20160609;11;330,099;
20160609;12;338,438;
20160609;13;339,362;
20160609;14;326,562;
20160609;15;279,911;
20160609;16;291,498;
20160609;17;257,524;
20160609;18;214,739;
20160609;19;199,149;
20160609;20;172,523;
20160609;21;149,711;
20160609;22;205,009;
20160609;23;249,523;
20160609;24;302,225;
20160610;1;446,663;
20160610;2;623,075;
20160610;3;959,427;
20160610;4;1383,735;
20160610;5;1645,239;
20160610;6;1836,654;
20160610;7;1536,815;
20160610;8;1392,788;
20160610;9;1594,863;
20160610;10;1924,102;
20160610;11;2267,879;
20160610;12;2889,574;
20160610;13;3242,788;
20160610;14;3401,300;
20160610;15;3704,638;
20160610;16;3316,676;
20160610;17;3008,687;
20160610;18;2890,701;
20160610;19;2617,136;
20160610;20;1886,852;
20160610;21;1339,978;
20160610;22;1391,411;
20160610;23;1288,750;
20160610;24;1057,874;
20160611;1;943,301;
20160611;2;822,401;
20160611;3;794,711;
20160611;4;752,172;
20160611;5;685,983;
20160611;6;564,711;
20160611;7;461,596;
20160611;8;421,084;
20160611;9;584,763;
20160611;10;795,549;
20160611;11;970,624;
20160611;12;1034,126;
20160611;13;948,050;
20160611;14;899,588;
20160611;15;822,824;
20160611;16;747,399;
20160611;17;694,436;
20160611;18;709,911;
20160611;19;679,087;
