Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20150601;1;2035,238;
20150601;2;2292,025;
20150601;3;2286,950;
20150601;4;2261,000;
20150601;5;2267,675;
20150601;6;2202,825;
20150601;7;1772,575;
20150601;8;1234,038;
20150601;9;983,463;
20150601;10;951,538;
20150601;11;954,513;
20150601;12;952,463;
20150601;13;832,413;
20150601;14;655,788;
20150601;15;533,963;
20150601;16;486,100;
20150601;17;357,913;
20150601;18;310,813;
20150601;19;288,488;
20150601;20;318,288;
20150601;21;408,775;
20150601;22;544,913;
20150601;23;452,163;
20150601;24;454,163;
20150602;1;393,138;
20150602;2;327,550;
20150602;3;348,988;
20150602;4;365,288;
20150602;5;306,038;
20150602;6;373,625;
20150602;7;410,988;
20150602;8;327,688;
20150602;9;289,888;
20150602;10;487,813;
20150602;11;836,638;
20150602;12;1346,175;
20150602;13;1856,225;
20150602;14;2246,638;
20150602;15;2470,113;
20150602;16;2626,088;
20150602;17;2610,538;
20150602;18;2466,700;
20150602;19;2133,188;
20150602;20;1703,088;
20150602;21;1582,063;
20150602;22;1720,550;
20150602;23;2047,688;
20150602;24;2215,038;
20150603;1;2216,450;
20150603;2;2177,625;
20150603;3;2108,425;
20150603;4;2065,738;
20150603;5;1972,163;
20150603;6;1866,925;
20150603;7;1601,513;
20150603;8;1197,925;
20150603;9;1222,238;
20150603;10;1412,225;
20150603;11;1740,763;
20150603;12;1927,775;
20150603;13;2000,375;
20150603;14;2285,925;
20150603;15;2294,888;
20150603;16;2294,050;
20150603;17;2368,600;
20150603;18;2422,575;
20150603;19;2320,263;
20150603;20;2030,463;
20150603;21;1914,225;
20150603;22;1781,788;
20150603;23;1676,538;
20150603;24;1632,350;
20150604;1;1342,288;
20150604;2;1245,250;
20150604;3;1135,563;
20150604;4;1058,000;
20150604;5;1036,763;
20150604;6;972,150;
20150604;7;803,563;
20150604;8;811,938;
20150604;9;793,275;
20150604;10;754,900;
20150604;11;760,113;
20150604;12;744,625;
20150604;13;723,688;
20150604;14;657,813;
20150604;15;596,988;
20150604;16;530,138;
20150604;17;450,100;
20150604;18;407,913;
20150604;19;390,125;
20150604;20;342,613;
20150604;21;346,913;
20150604;22;497,925;
20150604;23;510,300;
20150604;24;474,650;
20150605;1;461,438;
20150605;2;490,438;
20150605;3;521,138;
20150605;4;508,175;
20150605;5;510,675;
20150605;6;486,950;
20150605;7;352,963;
20150605;8;170,450;
20150605;9;97,638;
20150605;10;105,338;
20150605;11;121,700;
20150605;12;149,063;
20150605;13;144,025;
20150605;14;135,375;
20150605;15;151,438;
20150605;16;170,013;
20150605;17;204,913;
20150605;18;240,888;
20150605;19;271,075;
20150605;20;340,263;
20150605;21;526,538;
20150605;22;879,350;
20150605;23;1372,025;
20150605;24;1885,000;
20150606;1;2067,788;
20150606;2;2160,113;
20150606;3;2054,125;
20150606;4;2025,963;
20150606;5;2042,025;
20150606;6;2028,988;
20150606;7;1607,200;
20150606;8;1074,000;
20150606;9;1027,600;
20150606;10;1297,963;
20150606;11;1462,963;
20150606;12;1328,013;
20150606;13;1166,138;
20150606;14;959,013;
20150606;15;795,675;
20150606;16;732,413;
20150606;17;684,188;
20150606;18;762,538;
20150606;19;835,175;
20150606;20;827,338;
20150606;21;874,713;
20150606;22;968,813;
20150606;23;1115,063;
20150606;24;1165,325;
20150607;1;1106,663;
20150607;2;989,850;
20150607;3;906,113;
20150607;4;813,075;
20150607;5;823,538;
20150607;6;665,988;
20150607;7;513,263;
20150607;8;461,413;
20150607;9;343,950;
20150607;10;258,850;
20150607;11;272,650;
20150607;12;331,825;
20150607;13;401,038;
20150607;14;465,463;
20150607;15;437,975;
20150607;16;531,275;
20150607;17;606,750;
20150607;18;568,013;
20150607;19;481,025;
20150607;20;363,813;
20150607;21;276,200;
20150607;22;329,563;
20150607;23;378,400;
20150607;24;418,688;
20150608;1;498,138;
20150608;2;527,338;
20150608;3;524,600;
20150608;4;545,575;
20150608;5;509,500;
20150608;6;454,688;
20150608;7;316,200;
20150608;8;180,863;
20150608;9;202,913;
20150608;10;193,863;
20150608;11;223,775;
20150608;12;272,900;
20150608;13;332,613;
20150608;14;395,938;
20150608;15;446,288;
20150608;16;477,338;
20150608;17;530,950;
20150608;18;666,338;
20150608;19;711,788;
20150608;20;604,938;
20150608;21;629,413;
20150608;22;622,750;
20150608;23;610,913;
20150608;24;605,625;
20150609;1;547,463;
20150609;2;574,738;
20150609;3;565,663;
20150609;4;490,363;
20150609;5;478,063;
20150609;6;463,975;
20150609;7;471,563;
20150609;8;393,888;
20150609;9;357,488;
20150609;10;363,275;
20150609;11;346,575;
20150609;12;444,825;
20150609;13;547,938;
20150609;14;693,013;
20150609;15;830,875;
20150609;16;951,625;
20150609;17;989,863;
20150609;18;950,200;
20150609;19;826,575;
20150609;20;696,263;
20150609;21;628,788;
20150609;22;656,250;
20150609;23;637,675;
20150609;24;638,850;
20150610;1;697,713;
20150610;2;724,538;
20150610;3;637,788;
20150610;4;564,075;
20150610;5;546,163;
20150610;6;474,913;
20150610;7;307,975;
20150610;8;105,938;
20150610;9;71,288;
20150610;10;64,450;
20150610;11;62,363;
20150610;12;86,875;
20150610;13;115,363;
20150610;14;114,275;
20150610;15;122,188;
20150610;16;140,525;
20150610;17;125,950;
20150610;18;127,138;
20150610;19;142,325;
20150610;20;131,325;
20150610;21;167,563;
20150610;22;265,763;
20150610;23;330,763;
20150610;24;332,088;
20150611;1;301,463;
20150611;2;305,050;
20150611;3;344,275;
20150611;4;372,988;
20150611;5;437,638;
20150611;6;454,513;
20150611;7;366,063;
20150611;8;190,238;
20150611;9;209,363;
20150611;10;354,475;
20150611;11;435,063;
20150611;12;360,938;
20150611;13;274,375;
20150611;14;229,338;
20150611;15;201,313;
20150611;16;175,663;
20150611;17;152,063;
20150611;18;142,538;
20150611;19;110,425;
20150611;20;91,413;
20150611;21;109,888;
20150611;22;169,563;
20150611;23;205,125;
20150611;24;231,375;
20150612;1;282,138;
20150612;2;381,800;
20150612;3;364,475;
20150612;4;400,813;
20150612;5;465,725;
20150612;6;536,750;
20150612;7;457,438;
20150612;8;250,100;
20150612;9;119,250;
20150612;10;123,325;
20150612;11;156,625;
20150612;12;172,738;
20150612;13;215,250;
20150612;14;271,538;
20150612;15;321,263;
20150612;16;372,088;
20150612;17;395,025;
20150612;18;452,763;
20150612;19;453,813;
20150612;20;400,475;
20150612;21;534,100;
20150612;22;739,450;
20150612;23;812,075;
20150612;24;589,963;
20150613;1;481,025;
20150613;2;433,613;
20150613;3;350,250;
20150613;4;336,563;
20150613;5;243,850;
20150613;6;215,650;
20150613;7;220,138;
20150613;8;146,700;
20150613;9;154,050;
20150613;10;163,975;
20150613;11;156,588;
20150613;12;146,988;
20150613;13;158,188;
20150613;14;155,788;
20150613;15;157,075;
20150613;16;126,575;
20150613;17;133,400;
20150613;18;134,375;
20150613;19;183,288;
20150613;20;224,500;
20150613;21;465,325;
20150613;22;706,988;
20150613;23;792,538;
20150613;24;891,325;
20150614;1;1046,275;
20150614;2;1036,663;
20150614;3;1074,075;
20150614;4;1170,488;
20150614;5;1035,300;
20150614;6;990,225;
20150614;7;1013,325;
20150614;8;759,900;
20150614;9;843,575;
20150614;10;949,250;
20150614;11;1070,175;
20150614;12;1208,825;
20150614;13;1242,150;
20150614;14;1228,800;
20150614;15;1138,625;
20150614;16;981,438;
20150614;17;889,900;
20150614;18;863,225;
20150614;19;707,238;
20150614;20;592,538;
20150614;21;498,688;
20150614;22;456,825;
20150614;23;576,613;
20150614;24;616,838;
20150615;1;640,000;
20150615;2;623,375;
20150615;3;632,375;
20150615;4;724,550;
20150615;5;828,525;
20150615;6;750,463;
20150615;7;663,950;
20150615;8;735,938;
20150615;9;694,163;
20150615;10;599,213;
20150615;11;597,625;
20150615;12;677,438;
20150615;13;764,238;
20150615;14;856,175;
20150615;15;924,575;
20150615;16;993,500;
20150615;17;1056,688;
20150615;18;1038,213;
20150615;19;1084,525;
20150615;20;1048,650;
20150615;21;912,925;
20150615;22;834,738;
20150615;23;857,613;
20150615;24;885,588;
20150616;1;900,688;
20150616;2;764,363;
20150616;3;611,500;
20150616;4;546,963;
20150616;5;521,925;
20150616;6;478,688;
20150616;7;284,825;
20150616;8;152,138;
20150616;9;174,575;
20150616;10;247,938;
20150616;11;308,025;
20150616;12;295,050;
20150616;13;308,538;
20150616;14;327,838;
20150616;15;339,188;
20150616;16;380,675;
20150616;17;405,863;
20150616;18;440,075;
20150616;19;463,788;
20150616;20;416,700;
20150616;21;405,725;
20150616;22;438,925;
20150616;23;477,988;
20150616;24;482,063;
20150617;1;472,063;
20150617;2;456,813;
20150617;3;398,000;
20150617;4;391,225;
20150617;5;398,375;
20150617;6;365,275;
20150617;7;258,863;
20150617;8;166,550;
20150617;9;209,863;
20150617;10;258,700;
20150617;11;296,338;
20150617;12;308,925;
20150617;13;322,138;
20150617;14;284,000;
20150617;15;272,263;
20150617;16;256,438;
20150617;17;215,063;
20150617;18;203,438;
20150617;19;155,975;
20150617;20;153,588;
20150617;21;195,150;
20150617;22;268,250;
20150617;23;436,963;
20150617;24;690,938;
20150618;1;892,163;
20150618;2;1043,200;
20150618;3;1117,275;
20150618;4;1140,625;
20150618;5;1131,563;
20150618;6;1067,813;
20150618;7;1056,725;
20150618;8;862,725;
20150618;9;852,913;
20150618;10;900,950;
20150618;11;885,625;
20150618;12;990,938;
20150618;13;1088,338;
20150618;14;1092,700;
20150618;15;981,450;
20150618;16;972,450;
20150618;17;785,250;
20150618;18;741,138;
20150618;19;604,088;
20150618;20;534,500;
20150618;21;521,025;
20150618;22;544,900;
20150618;23;574,725;
20150618;24;623,988;
20150619;1;616,275;
20150619;2;589,900;
20150619;3;560,075;
20150619;4;574,800;
20150619;5;721,200;
20150619;6;723,563;
20150619;7;671,988;
20150619;8;664,138;
20150619;9;698,863;
20150619;10;784,538;
20150619;11;869,350;
20150619;12;866,725;
20150619;13;937,663;
20150619;14;1025,838;
20150619;15;1104,025;
20150619;16;987,188;
20150619;17;954,575;
20150619;18;834,238;
20150619;19;745,088;
20150619;20;662,888;
20150619;21;608,550;
20150619;22;758,175;
20150619;23;908,100;
20150619;24;983,050;
20150620;1;978,275;
20150620;2;1001,200;
20150620;3;890,288;
20150620;4;769,688;
20150620;5;730,888;
20150620;6;617,113;
20150620;7;454,450;
20150620;8;358,650;
20150620;9;306,313;
20150620;10;295,650;
20150620;11;314,575;
20150620;12;287,450;
20150620;13;305,250;
20150620;14;287,813;
20150620;15;297,938;
20150620;16;309,813;
20150620;17;200,363;
20150620;18;217,963;
20150620;19;251,450;
20150620;20;153,025;
20150620;21;150,025;
20150620;22;191,938;
20150620;23;239,038;
20150620;24;351,138;
20150621;1;395,563;
20150621;2;393,188;
20150621;3;405,150;
20150621;4;397,550;
20150621;5;344,913;
20150621;6;348,025;
20150621;7;315,950;
20150621;8;305,975;
20150621;9;274,588;
20150621;10;286,963;
20150621;11;435,738;
20150621;12;608,263;
20150621;13;754,238;
20150621;14;703,375;
20150621;15;733,150;
20150621;16;716,613;
20150621;17;539,613;
20150621;18;492,813;
20150621;19;477,538;
20150621;20;375,363;
20150621;21;215,713;
20150621;22;208,475;
20150621;23;262,575;
20150621;24;323,000;
20150622;1;385,163;
20150622;2;503,350;
20150622;3;555,150;
20150622;4;537,900;
20150622;5;558,200;
20150622;6;495,575;
20150622;7;379,163;
20150622;8;225,688;
20150622;9;213,475;
20150622;10;406,125;
20150622;11;628,713;
20150622;12;761,788;
20150622;13;738,625;
20150622;14;674,188;
20150622;15;646,150;
20150622;16;583,538;
20150622;17;442,038;
