Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20150501;1;1210,788;
20150501;2;1172,925;
20150501;3;986,250;
20150501;4;874,550;
20150501;5;915,313;
20150501;6;976,550;
20150501;7;914,125;
20150501;8;609,163;
20150501;9;396,913;
20150501;10;483,600;
20150501;11;621,263;
20150501;12;653,150;
20150501;13;766,863;
20150501;14;803,350;
20150501;15;856,538;
20150501;16;785,775;
20150501;17;686,725;
20150501;18;691,375;
20150501;19;506,988;
20150501;20;364,625;
20150501;21;355,850;
20150501;22;316,350;
20150501;23;363,075;
20150501;24;356,100;
20150502;1;426,188;
20150502;2;497,088;
20150502;3;503,775;
20150502;4;602,950;
20150502;5;678,113;
20150502;6;742,300;
20150502;7;722,175;
20150502;8;541,800;
20150502;9;587,038;
20150502;10;922,788;
20150502;11;1253,113;
20150502;12;1494,875;
20150502;13;1571,950;
20150502;14;1551,613;
20150502;15;1477,113;
20150502;16;1437,100;
20150502;17;1323,750;
20150502;18;1156,388;
20150502;19;868,725;
20150502;20;539,588;
20150502;21;449,163;
20150502;22;388,513;
20150502;23;408,038;
20150502;24;409,150;
20150503;1;349,938;
20150503;2;284,200;
20150503;3;247,275;
20150503;4;211,200;
20150503;5;170,875;
20150503;6;164,100;
20150503;7;164,950;
20150503;8;115,200;
20150503;9;62,238;
20150503;10;57,888;
20150503;11;65,850;
20150503;12;70,525;
20150503;13;98,050;
20150503;14;157,375;
20150503;15;221,325;
20150503;16;303,025;
20150503;17;372,413;
20150503;18;432,450;
20150503;19;504,713;
20150503;20;679,025;
20150503;21;1284,263;
20150503;22;1899,513;
20150503;23;2239,450;
20150503;24;2279,950;
20150504;1;2288,063;
20150504;2;2223,313;
20150504;3;2181,600;
20150504;4;2093,850;
20150504;5;2020,375;
20150504;6;1887,638;
20150504;7;1707,325;
20150504;8;1576,788;
20150504;9;1467,038;
20150504;10;1342,538;
20150504;11;1192,188;
20150504;12;1105,375;
20150504;13;1080,763;
20150504;14;973,425;
20150504;15;853,863;
20150504;16;779,463;
20150504;17;600,375;
20150504;18;404,725;
20150504;19;247,513;
20150504;20;153,013;
20150504;21;126,038;
20150504;22;158,663;
20150504;23;218,313;
20150504;24;294,863;
20150505;1;399,125;
20150505;2;479,463;
20150505;3;665,738;
20150505;4;820,613;
20150505;5;946,200;
20150505;6;1062,400;
20150505;7;1230,975;
20150505;8;1291,063;
20150505;9;1040,250;
20150505;10;1051,938;
20150505;11;1417,713;
20150505;12;1622,825;
20150505;13;1598,450;
20150505;14;1643,888;
20150505;15;1828,663;
20150505;16;1712,175;
20150505;17;1425,938;
20150505;18;1311,325;
20150505;19;1381,250;
20150505;20;1560,100;
20150505;21;1807,900;
20150505;22;1992,650;
20150505;23;1981,988;
20150505;24;1813,050;
20150506;1;1691,700;
20150506;2;1659,538;
20150506;3;1689,288;
20150506;4;1516,088;
20150506;5;1321,913;
20150506;6;957,525;
20150506;7;775,150;
20150506;8;631,400;
20150506;9;451,913;
20150506;10;241,738;
20150506;11;193,138;
20150506;12;153,613;
20150506;13;126,588;
20150506;14;107,838;
20150506;15;146,038;
20150506;16;178,225;
20150506;17;186,650;
20150506;18;188,500;
20150506;19;181,663;
20150506;20;178,863;
20150506;21;291,613;
20150506;22;509,638;
20150506;23;675,100;
20150506;24;764,450;
20150507;1;834,513;
20150507;2;843,775;
20150507;3;818,625;
20150507;4;912,125;
20150507;5;928,700;
20150507;6;939,188;
20150507;7;891,000;
20150507;8;694,638;
20150507;9;590,050;
20150507;10;772,400;
20150507;11;943,263;
20150507;12;1115,150;
20150507;13;1268,038;
20150507;14;1265,200;
20150507;15;1339,850;
20150507;16;1485,438;
20150507;17;1501,088;
20150507;18;1365,888;
20150507;19;939,700;
20150507;20;772,113;
20150507;21;921,338;
20150507;22;925,900;
20150507;23;907,238;
20150507;24;932,750;
20150508;1;702,488;
20150508;2;608,813;
20150508;3;623,363;
20150508;4;564,113;
20150508;5;569,325;
20150508;6;586,175;
20150508;7;456,125;
20150508;8;222,963;
20150508;9;131,313;
20150508;10;182,363;
20150508;11;196,413;
20150508;12;172,338;
20150508;13;172,688;
20150508;14;206,013;
20150508;15;213,750;
20150508;16;168,725;
20150508;17;113,088;
20150508;18;80,138;
20150508;19;76,813;
20150508;20;131,438;
20150508;21;213,863;
20150508;22;288,038;
20150508;23;397,350;
20150508;24;453,738;
20150509;1;535,175;
20150509;2;553,888;
20150509;3;599,650;
20150509;4;513,175;
20150509;5;460,050;
20150509;6;439,688;
20150509;7;443,038;
20150509;8;379,650;
20150509;9;250,338;
20150509;10;205,113;
20150509;11;188,613;
20150509;12;220,075;
20150509;13;298,600;
20150509;14;369,375;
20150509;15;429,125;
20150509;16;493,313;
20150509;17;441,625;
20150509;18;364,363;
20150509;19;319,063;
20150509;20;449,863;
20150509;21;586,875;
20150509;22;818,488;
20150509;23;961,675;
20150509;24;997,150;
20150510;1;808,413;
20150510;2;811,663;
20150510;3;784,875;
20150510;4;889,300;
20150510;5;914,713;
20150510;6;1025,063;
20150510;7;938,250;
20150510;8;905,875;
20150510;9;1053,463;
20150510;10;1147,313;
20150510;11;1501,038;
20150510;12;1802,600;
20150510;13;1875,700;
20150510;14;2107,763;
20150510;15;2435,125;
20150510;16;2438,413;
20150510;17;2431,038;
20150510;18;2221,188;
20150510;19;1977,800;
20150510;20;1666,288;
20150510;21;1449,288;
20150510;22;1275,225;
20150510;23;1267,538;
20150510;24;1115,475;
20150511;1;1023,713;
20150511;2;913,125;
20150511;3;762,388;
20150511;4;716,400;
20150511;5;633,963;
20150511;6;491,288;
20150511;7;345,788;
20150511;8;194,675;
20150511;9;170,988;
20150511;10;161,263;
20150511;11;116,450;
20150511;12;101,388;
20150511;13;75,775;
20150511;14;73,188;
20150511;15;74,100;
20150511;16;102,325;
20150511;17;121,325;
20150511;18;180,163;
20150511;19;190,125;
20150511;20;258,938;
20150511;21;494,538;
20150511;22;840,125;
20150511;23;1185,463;
20150511;24;1487,975;
20150512;1;1667,238;
20150512;2;1817,313;
20150512;3;1874,475;
20150512;4;1947,775;
20150512;5;1833,675;
20150512;6;1825,600;
20150512;7;1659,950;
20150512;8;1131,163;
20150512;9;791,813;
20150512;10;726,275;
20150512;11;837,038;
20150512;12;961,988;
20150512;13;1176,775;
20150512;14;1461,500;
20150512;15;1760,313;
20150512;16;1914,688;
20150512;17;2037,750;
20150512;18;2162,313;
20150512;19;2349,625;
20150512;20;2482,113;
20150512;21;2808,075;
20150512;22;3031,738;
20150512;23;2807,763;
20150512;24;2592,400;
20150513;1;2545,675;
20150513;2;2759,938;
20150513;3;2434,075;
20150513;4;2266,813;
20150513;5;2142,875;
20150513;6;2078,475;
20150513;7;1932,538;
20150513;8;1865,700;
20150513;9;1930,700;
20150513;10;2119,188;
20150513;11;2363,850;
20150513;12;2349,713;
20150513;13;2384,863;
20150513;14;2409,413;
20150513;15;2294,938;
20150513;16;2195,825;
20150513;17;2013,613;
20150513;18;1682,663;
20150513;19;1216,950;
20150513;20;936,250;
20150513;21;750,100;
20150513;22;683,863;
20150513;23;629,875;
20150513;24;562,425;
20150514;1;570,850;
20150514;2;636,688;
20150514;3;645,525;
20150514;4;680,488;
20150514;5;663,475;
20150514;6;649,338;
20150514;7;597,863;
20150514;8;493,938;
20150514;9;491,488;
20150514;10;569,713;
20150514;11;654,638;
20150514;12;800,900;
20150514;13;906,550;
20150514;14;1062,300;
20150514;15;1148,188;
20150514;16;1158,763;
20150514;17;1016,713;
20150514;18;932,600;
20150514;19;749,463;
20150514;20;578,675;
20150514;21;595,838;
20150514;22;698,500;
20150514;23;746,888;
20150514;24;791,563;
20150515;1;855,288;
20150515;2;848,688;
20150515;3;807,725;
20150515;4;839,413;
20150515;5;807,900;
20150515;6;756,925;
20150515;7;578,875;
20150515;8;337,988;
20150515;9;271,063;
20150515;10;372,438;
20150515;11;509,438;
20150515;12;576,100;
