Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20160101;1;1365,050;
20160101;2;1278,125;
20160101;3;1199,138;
20160101;4;1025,988;
20160101;5;877,988;
20160101;6;891,563;
20160101;7;785,575;
20160101;8;745,500;
20160101;9;761,650;
20160101;10;720,213;
20160101;11;618,913;
20160101;12;556,900;
20160101;13;583,325;
20160101;14;572,638;
20160101;15;577,125;
20160101;16;640,200;
20160101;17;785,050;
20160101;18;1005,900;
20160101;19;1138,375;
20160101;20;1213,300;
20160101;21;1214,425;
20160101;22;1207,338;
20160101;23;1180,263;
20160101;24;1139,188;
20160102;1;1150,950;
20160102;2;1227,888;
20160102;3;1229,588;
20160102;4;1478,250;
20160102;5;1743,463;
20160102;6;2079,413;
20160102;7;2241,850;
20160102;8;2379,763;
20160102;9;2459,113;
20160102;10;2646,150;
20160102;11;2866,900;
20160102;12;2992,225;
20160102;13;2995,713;
20160102;14;2896,338;
20160102;15;2861,500;
20160102;16;2763,388;
20160102;17;2838,400;
20160102;18;3026,163;
20160102;19;3064,288;
20160102;20;2987,313;
20160102;21;2850,813;
20160102;22;2604,150;
20160102;23;2379,350;
20160102;24;2270,088;
20160103;1;2178,525;
20160103;2;2089,075;
20160103;3;1998,750;
20160103;4;1815,463;
20160103;5;1622,963;
20160103;6;1442,688;
20160103;7;1340,100;
20160103;8;1266,363;
20160103;9;1217,213;
20160103;10;1060,175;
20160103;11;978,525;
20160103;12;985,775;
20160103;13;1017,525;
20160103;14;1073,425;
20160103;15;1045,038;
20160103;16;1114,088;
20160103;17;1326,413;
20160103;18;1580,675;
20160103;19;1712,675;
20160103;20;1803,663;
20160103;21;1830,088;
20160103;22;1752,363;
20160103;23;1657,400;
20160103;24;1615,788;
20160104;1;1637,750;
20160104;2;1690,375;
20160104;3;1722,838;
20160104;4;1749,913;
20160104;5;1907,025;
20160104;6;1953,938;
20160104;7;1992,688;
20160104;8;1965,738;
20160104;9;1994,950;
20160104;10;1810,300;
20160104;11;1584,350;
20160104;12;1426,313;
20160104;13;1326,038;
20160104;14;1340,563;
20160104;15;1340,963;
20160104;16;1439,650;
20160104;17;1601,163;
20160104;18;1713,263;
20160104;19;1687,488;
20160104;20;1527,388;
20160104;21;1359,588;
20160104;22;1244,175;
20160104;23;1083,925;
20160104;24;929,063;
20160105;1;780,275;
20160105;2;725,725;
20160105;3;664,863;
20160105;4;703,763;
20160105;5;700,000;
20160105;6;688,900;
20160105;7;707,175;
20160105;8;662,200;
20160105;9;791,788;
20160105;10;666,325;
20160105;11;468,475;
20160105;12;333,238;
20160105;13;275,025;
20160105;14;282,700;
20160105;15;300,100;
20160105;16;359,588;
20160105;17;487,163;
20160105;18;548,850;
20160105;19;596,638;
20160105;20;632,688;
20160105;21;669,675;
20160105;22;671,700;
20160105;23;600,425;
20160105;24;510,225;
20160106;1;445,075;
20160106;2;456,663;
20160106;3;505,513;
20160106;4;563,600;
20160106;5;627,975;
20160106;6;679,088;
20160106;7;733,900;
20160106;8;705,288;
20160106;9;685,575;
20160106;10;603,700;
20160106;11;362,563;
20160106;12;225,975;
20160106;13;215,525;
20160106;14;200,238;
20160106;15;223,000;
20160106;16;341,288;
20160106;17;535,675;
20160106;18;715,600;
20160106;19;752,213;
20160106;20;777,313;
20160106;21;805,888;
20160106;22;766,413;
20160106;23;731,475;
20160106;24;700,900;
20160107;1;722,475;
20160107;2;669,488;
20160107;3;620,425;
20160107;4;654,475;
20160107;5;734,525;
20160107;6;808,888;
20160107;7;753,600;
20160107;8;711,113;
20160107;9;679,538;
20160107;10;615,200;
20160107;11;630,400;
20160107;12;646,588;
20160107;13;708,013;
20160107;14;784,625;
20160107;15;839,438;
20160107;16;846,575;
20160107;17;916,400;
20160107;18;907,350;
20160107;19;991,400;
20160107;20;1014,275;
20160107;21;1128,475;
20160107;22;1214,500;
20160107;23;1266,763;
20160107;24;1356,013;
20160108;1;1517,225;
20160108;2;1677,175;
20160108;3;1760,613;
20160108;4;1928,025;
20160108;5;1966,975;
20160108;6;1946,938;
20160108;7;2162,838;
20160108;8;2152,513;
20160108;9;2066,150;
20160108;10;1915,738;
20160108;11;1911,188;
20160108;12;1853,900;
20160108;13;1825,150;
20160108;14;1933,163;
20160108;15;2141,288;
20160108;16;2276,375;
20160108;17;2400,663;
20160108;18;2420,013;
20160108;19;2513,988;
20160108;20;2576,163;
20160108;21;2593,813;
20160108;22;2598,088;
20160108;23;2615,763;
20160108;24;2607,625;
20160109;1;2662,075;
20160109;2;2616,225;
20160109;3;2497,888;
20160109;4;2167,800;
20160109;5;1751,363;
20160109;6;1388,050;
20160109;7;1270,938;
20160109;8;1131,413;
20160109;9;968,300;
20160109;10;697,575;
20160109;11;557,050;
20160109;12;479,163;
20160109;13;374,263;
20160109;14;322,850;
20160109;15;329,700;
20160109;16;400,975;
20160109;17;571,875;
20160109;18;705,113;
20160109;19;757,325;
20160109;20;941,663;
