Date,Time,Total_Wind_Power(MWh)
20181201,1,2909.291
20181201,2,2765.002
20181201,3,2541.403
20181201,4,2336.244
20181201,5,2210.403
20181201,6,1909.302
20181201,7,1721.452
20181201,8,1559.482
20181201,9,1380.457
20181201,10,945.311
20181201,11,661.577
20181201,12,568.336
20181201,13,479.664
20181201,14,429.491
20181201,15,472.177
20181201,16,603.429
20181201,17,821.874
20181201,18,992.841
20181201,19,1152.765
20181201,20,1272.076
20181201,21,1276.539
20181201,22,1244.364
20181201,23,1282.958
20181201,0,1338.102
20181202,1,1373.24
20181202,2,1434.515
20181202,3,1556.529
20181202,4,1643.529
20181202,5,1826.703
20181202,6,1926.655
20181202,7,2082.38
20181202,8,2271.002
20181202,9,2327.975
20181202,10,2318.792
20181202,11,2265.382
20181202,12,2122.016
20181202,13,2279.532
20181202,14,2379.779
20181202,15,2559.317
20181202,16,2850.579
20181202,17,3180.115
20181202,18,3214.557
20181202,19,3122.042
20181202,20,3077.852
20181202,21,3013.231
20181202,22,2924.233
20181202,23,2859.314
20181202,0,2800.755
20181203,1,2703.302
20181203,2,2596.505
20181203,3,2539.403
20181203,4,2561.518
20181203,5,2540.88
20181203,6,2511.382
20181203,7,2499.419
20181203,8,2517.841
20181203,9,2456.957
20181203,10,2368.155
20181203,11,2203.741
20181203,12,2182.492
20181203,13,2155.692
20181203,14,2198.794
20181203,15,2293.481
20181203,16,2439.504
20181203,17,2646.504
20181203,18,2738.899
20181203,19,2807.364
20181203,20,2759.389
20181203,21,2707.931
20181203,22,2500.503
20181203,23,2388.166
20181203,0,2346.096
20181204,1,2289.264
20181204,2,2102.179
20181204,3,2011.443
20181204,4,2036.353
20181204,5,2021.741
20181204,6,2125.453
20181204,7,2226.767
20181204,8,2488.366
20181204,9,2673.206
20181204,10,2752.04
20181204,11,3051.077
20181204,12,3312.164
20181204,13,3473.042
20181204,14,3706.866
20181204,15,3739.35
20181204,16,3729.538
20181204,17,3763.751
20181204,18,3842.594
20181204,19,3971.156
20181204,20,3991.802
20181204,21,4008.129
20181204,22,3917.502
20181204,23,3869.779
