Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20170601;1;2954,641;
20170601;2;2956,303;
20170601;3;3066,390;
20170601;4;2991,113;
20170601;5;2819,711;
20170601;6;2656,915;
20170601;7;2415,911;
20170601;8;2555,400;
20170601;9;2762,613;
20170601;10;2774,727;
20170601;11;2706,079;
20170601;12;2606,188;
20170601;13;2562,740;
20170601;14;2584,977;
20170601;15;2620,765;
20170601;16;2528,156;
20170601;17;2397,679;
20170601;18;2228,174;
20170601;19;2040,729;
20170601;20;1630,454;
20170601;21;1454,349;
20170601;22;1424,769;
20170601;23;1443,951;
20170601;24;1453,653;
20170602;1;1477,311;
20170602;2;1530,563;
20170602;3;1567,136;
20170602;4;1507,900;
20170602;5;1417,203;
20170602;6;1208,100;
20170602;7;852,291;
20170602;8;511,275;
20170602;9;515,792;
20170602;10;636,700;
20170602;11;716,065;
20170602;12;824,786;
20170602;13;994,661;
20170602;14;1143,832;
20170602;15;1186,778;
20170602;16;1180,915;
20170602;17;1142,279;
20170602;18;1123,253;
20170602;19;1035,349;
20170602;20;906,702;
20170602;21;806,102;
20170602;22;1055,314;
20170602;23;1138,964;
20170602;24;1252,312;
20170603;1;1266,102;
20170603;2;1260,048;
20170603;3;1302,637;
20170603;4;1345,491;
20170603;5;1336,415;
20170603;6;1200,776;
20170603;7;738,362;
20170603;8;472,488;
20170603;9;408,897;
20170603;10;315,771;
20170603;11;252,699;
20170603;12;253,587;
20170603;13;219,208;
20170603;14;161,923;
20170603;15;156,496;
20170603;16;160,324;
20170603;17;180,770;
20170603;18;246,959;
20170603;19;347,060;
20170603;20;529,640;
20170603;21;779,689;
20170603;22;1081,590;
20170603;23;1333,453;
20170603;24;1601,089;
20170604;1;1815,952;
20170604;2;1831,950;
20170604;3;1809,718;
20170604;4;1684,114;
20170604;5;1556,411;
20170604;6;1459,691;
20170604;7;1278,553;
20170604;8;1087,001;
20170604;9;669,799;
20170604;10;563,738;
20170604;11;640,090;
20170604;12;747,673;
20170604;13;759,287;
20170604;14;762,596;
20170604;15;1127,551;
20170604;16;1300,729;
20170604;17;1643,275;
20170604;18;2011,225;
20170604;19;2493,054;
20170604;20;2792,587;
20170604;21;2872,316;
20170604;22;2947,451;
20170604;23;3052,563;
20170604;24;2988,549;
20170605;1;2875,411;
20170605;2;2835,538;
20170605;3;2693,174;
20170605;4;2348,664;
20170605;5;2226,767;
20170605;6;1981,825;
20170605;7;1694,216;
20170605;8;1429,015;
20170605;9;1405,613;
20170605;10;1181,263;
20170605;11;991,385;
20170605;12;941,461;
20170605;13;901,423;
20170605;14;754,110;
20170605;15;612,572;
20170605;16;419,600;
20170605;17;279,574;
20170605;18;187,711;
20170605;19;132,209;
20170605;20;122,547;
20170605;21;180,671;
20170605;22;305,035;
20170605;23;503,960;
20170605;24;664,738;
20170606;1;916,913;
20170606;2;1226,600;
20170606;3;1349,790;
20170606;4;1440,637;
20170606;5;1496,325;
20170606;6;1723,889;
20170606;7;1711,452;
20170606;8;1488,927;
20170606;9;1336,874;
20170606;10;1420,467;
20170606;11;1758,178;
20170606;12;2235,436;
20170606;13;2533,414;
20170606;14;2609,562;
20170606;15;2807,103;
20170606;16;2871,539;
20170606;17;3024,538;
20170606;18;2903,349;
20170606;19;2850,577;
20170606;20;2553,313;
20170606;21;2483,204;
20170606;22;2444,465;
20170606;23;2373,116;
20170606;24;2363,939;
20170607;1;2200,515;
20170607;2;2183,039;
20170607;3;2439,367;
20170607;4;2734,974;
20170607;5;3046,887;
20170607;6;2967,012;
20170607;7;2675,487;
20170607;8;2066,100;
20170607;9;2009,590;
20170607;10;1865,866;
20170607;11;1769,277;
20170607;12;1885,016;
20170607;13;2153,289;
20170607;14;2273,289;
20170607;15;2254,077;
20170607;16;2163,530;
20170607;17;1907,299;
20170607;18;1894,015;
20170607;19;1691,703;
20170607;20;1201,863;
20170607;21;1155,685;
20170607;22;1217,490;
20170607;23;1260,263;
20170607;24;1489,223;
20170608;1;1735,102;
20170608;2;2029,150;
20170608;3;2098,139;
20170608;4;2013,188;
20170608;5;2080,326;
20170608;6;1901,361;
20170608;7;1573,277;
20170608;8;1168,427;
20170608;9;1097,502;
20170608;10;1202,565;
20170608;11;1279,713;
20170608;12;1377,964;
20170608;13;1266,275;
20170608;14;1268,589;
20170608;15;1121,691;
20170608;16;1000,353;
20170608;17;884,639;
20170608;18;625,203;
20170608;19;406,424;
20170608;20;188,872;
20170608;21;126,558;
20170608;22;147,049;
20170608;23;257,072;
20170608;24;380,896;
20170609;1;422,828;
20170609;2;493,551;
20170609;3;566,674;
20170609;4;606,923;
20170609;5;691,236;
20170609;6;752,027;
20170609;7;686,601;
20170609;8;463,679;
20170609;9;229,361;
20170609;10;203,988;
20170609;11;314,236;
20170609;12;450,491;
20170609;13;567,411;
20170609;14;603,230;
20170609;15;608,227;
20170609;16;596,647;
20170609;17;578,764;
20170609;18;666,988;
20170609;19;777,228;
20170609;20;902,754;
20170609;21;1141,650;
20170609;22;1708,977;
20170609;23;2251,276;
20170609;24;2375,350;
20170610;1;2329,576;
20170610;2;2055,151;
20170610;3;1902,677;
20170610;4;1926,052;
20170610;5;1532,440;
20170610;6;1215,152;
20170610;7;854,528;
20170610;8;593,663;
20170610;9;489,488;
20170610;10;598,264;
20170610;11;696,738;
20170610;12;822,639;
20170610;13;1027,265;
20170610;14;1199,500;
20170610;15;1175,639;
20170610;16;1039,874;
20170610;17;928,624;
20170610;18;850,589;
20170610;19;704,765;
20170610;20;571,303;
20170610;21;462,022;
20170610;22;421,171;
20170610;23;425,548;
20170610;24;429,598;
20170611;1;440,197;
20170611;2;465,212;
20170611;3;455,275;
20170611;4;500,173;
20170611;5;506,787;
20170611;6;480,152;
20170611;7;356,162;
20170611;8;203,490;
20170611;9;171,762;
20170611;10;203,373;
20170611;11;300,685;
20170611;12;320,502;
20170611;13;309,971;
20170611;14;328,129;
20170611;15;359,812;
20170611;16;359,125;
20170611;17;348,151;
20170611;18;332,098;
20170611;19;285,261;
20170611;20;288,662;
20170611;21;414,797;
20170611;22;732,624;
20170611;23;1183,934;
20170611;24;1643,838;
20170612;1;1899,787;
20170612;2;2005,502;
20170612;3;2130,091;
20170612;4;2130,850;
20170612;5;2125,990;
20170612;6;2222,440;
20170612;7;2202,677;
20170612;8;1838,765;
20170612;9;1664,501;
20170612;10;1651,452;
20170612;11;1790,253;
20170612;12;2236,890;
20170612;13;2596,652;
20170612;14;3000,515;
20170612;15;3356,278;
20170612;16;3243,263;
20170612;17;3411,205;
20170612;18;3302,803;
20170612;19;3112,290;
20170612;20;2924,453;
20170612;21;2694,331;
20170612;22;2641,178;
20170612;23;2878,902;
20170612;24;2938,139;
20170613;1;3117,314;
20170613;2;3152,028;
20170613;3;3260,089;
20170613;4;3460,551;
20170613;5;3517,914;
20170613;6;3593,139;
20170613;7;3699,229;
20170613;8;3829,066;
20170613;9;3897,364;
20170613;10;4019,560;
20170613;11;4043,030;
20170613;12;4118,089;
20170613;13;4205,792;
20170613;14;4280,474;
20170613;15;4365,946;
20170613;16;4305,730;
20170613;17;4269,112;
20170613;18;4103,585;
20170613;19;3909,377;
20170613;20;3591,553;
