Date,Time,Total_Wind_Power(MWh)
20130101,1,1727.725
20130101,2,1783.95
20130101,3,1768.263
20130101,4,1751.538
20130101,5,1797.438
20130101,6,1771.95
20130101,7,1756.3
20130101,8,1674.788
20130101,9,1673.888
20130101,10,1610.575
20130101,11,1601.6
20130101,12,1406.4
20130101,13,1386.288
20130101,14,1365.075
20130101,15,1359.575
20130101,16,1398.313
20130101,17,1393.163
20130101,18,1366.013
20130101,19,1375.2
20130101,20,1391.138
20130101,21,1288.088
20130101,22,1140.775
20130101,23,965.138
20130101,0,909.438
20130102,1,913.013
20130102,2,914.763
20130102,3,892.163
20130102,4,867.413
20130102,5,898.5
20130102,6,846.313
20130102,7,881.313
20130102,8,842.763
20130102,9,858.338
20130102,10,881.538
20130102,11,972.875
20130102,12,977.425
20130102,13,960.75
20130102,14,1044.238
20130102,15,1058.238
20130102,16,1122.2
20130102,17,1242.3
20130102,18,1263.288
20130102,19,1263.013
20130102,20,1305.925
20130102,21,1451.838
20130102,22,1469.488
20130102,23,1487.625
20130102,0,1546.75
20130103,1,1574.113
20130103,2,1563.388
20130103,3,1538.263
20130103,4,1476.138
20130103,5,1436.725
20130103,6,1474.225
20130103,7,1667.288
20130103,8,1714.813
20130103,9,1836.25
20130103,10,1923.725
20130103,11,1939.725
20130103,12,2000.413
20130103,13,2101.425
20130103,14,2119.2
20130103,15,2097.563
20130103,16,2122.963
20130103,17,2158.338
20130103,18,2238.063
20130103,19,2223.563
20130103,20,2258.8
20130103,21,2298.075
20130103,22,2318.85
20130103,23,2305.138
20130103,0,2262.438
20130104,1,2260.125
20130104,2,2230.113
20130104,3,2213.8
20130104,4,2223.35
20130104,5,2186.35
20130104,6,2153.625
20130104,7,2073.613
20130104,8,2074.813
20130104,9,2059.225
20130104,10,2069.925
20130104,11,1944.388
20130104,12,1863.388
20130104,13,1646.763
20130104,14,1532.725
20130104,15,1478.7
20130104,16,1357.725
20130104,17,1294.525
20130104,18,1265.388
20130104,19,1254.538
20130104,20,1220.713
20130104,21,1136.063
20130104,22,1126.488
20130104,23,1053.013
20130104,0,1025.325
20130105,1,947.825
20130105,2,941.6
20130105,3,1051.075
20130105,4,1037.538
20130105,5,1064.875
20130105,6,1181.938
20130105,7,1264.7
20130105,8,1201.013
20130105,9,1234.938
20130105,10,1227.3
20130105,11,1217.463
20130105,12,1302.65
20130105,13,1191.625
20130105,14,1118.863
20130105,15,1083.113
20130105,16,949.0
20130105,17,818.163
20130105,18,732.05
20130105,19,638.775
20130105,20,556.8
20130105,21,469.275
20130105,22,389.6
20130105,23,308.838
20130105,0,255.838
20130106,1,260.275
20130106,2,279.263
20130106,3,273.125
20130106,4,253.925
20130106,5,247.088
20130106,6,193.713
20130106,7,166.138
20130106,8,171.538
20130106,9,211.288
20130106,10,243.588
20130106,11,223.55
20130106,12,237.725
20130106,13,243.125
20130106,14,232.438
20130106,15,256.838
20130106,16,277.575
20130106,17,327.113
20130106,18,348.5
20130106,19,405.025
20130106,20,434.05
20130106,21,433.438
20130106,22,453.938
20130106,23,355.875
20130106,0,255.625
20130107,1,202.65
20130107,2,192.95
20130107,3,161.863
20130107,4,151.75
20130107,5,107.95
20130107,6,109.313
20130107,7,109.838
20130107,8,97.65
20130107,9,82.0
20130107,10,81.075
20130107,11,72.15
20130107,12,24.95
20130107,13,18.05
20130107,14,23.65
20130107,15,33.3
20130107,16,39.313
20130107,17,39.463
20130107,18,48.1
20130107,19,69.375
20130107,20,92.4
20130107,21,105.175
20130107,22,135.325
20130107,23,185.725
20130107,0,194.513
20130108,1,199.013
20130108,2,209.563
20130108,3,264.175
20130108,4,306.15
20130108,5,335.875
20130108,6,370.05
20130108,7,379.4
