Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20141001;1;384,075;
20141001;2;332,950;
20141001;3;351,600;
20141001;4;326,538;
20141001;5;286,013;
20141001;6;276,700;
20141001;7;311,638;
20141001;8;302,138;
20141001;9;254,375;
20141001;10;225,363;
20141001;11;212,950;
20141001;12;215,350;
20141001;13;198,250;
20141001;14;187,963;
20141001;15;162,475;
20141001;16;146,163;
20141001;17;145,263;
20141001;18;134,813;
20141001;19;190,175;
20141001;20;295,388;
20141001;21;386,338;
20141001;22;437,813;
20141001;23;361,800;
20141001;24;349,325;
20141002;1;360,950;
20141002;2;306,575;
20141002;3;289,863;
20141002;4;281,250;
20141002;5;266,900;
20141002;6;256,000;
20141002;7;221,950;
20141002;8;190,125;
20141002;9;123,100;
20141002;10;52,775;
20141002;11;22,350;
20141002;12;18,538;
20141002;13;25,413;
20141002;14;42,488;
20141002;15;44,038;
20141002;16;34,688;
20141002;17;21,400;
20141002;18;26,688;
20141002;19;90,525;
20141002;20;139,863;
20141002;21;176,950;
20141002;22;201,650;
20141002;23;216,438;
20141002;24;225,450;
20141003;1;229,513;
20141003;2;212,325;
20141003;3;166,238;
20141003;4;131,588;
20141003;5;87,088;
20141003;6;72,813;
20141003;7;64,463;
20141003;8;63,038;
20141003;9;70,038;
20141003;10;33,500;
20141003;11;14,575;
20141003;12;29,350;
20141003;13;34,400;
20141003;14;27,050;
20141003;15;17,163;
20141003;16;20,038;
20141003;17;30,100;
20141003;18;46,075;
20141003;19;97,313;
20141003;20;166,113;
20141003;21;240,750;
20141003;22;270,025;
20141003;23;309,200;
20141003;24;369,563;
20141004;1;370,338;
20141004;2;318,300;
20141004;3;271,063;
20141004;4;228,600;
20141004;5;200,213;
20141004;6;174,338;
20141004;7;202,325;
20141004;8;237,038;
20141004;9;306,900;
20141004;10;236,888;
20141004;11;162,388;
20141004;12;282,113;
20141004;13;422,963;
20141004;14;389,775;
20141004;15;337,338;
20141004;16;310,225;
20141004;17;321,825;
20141004;18;394,313;
20141004;19;666,575;
20141004;20;1060,625;
20141004;21;1287,875;
20141004;22;1342,975;
20141004;23;1278,863;
20141004;24;1178,275;
20141005;1;1060,588;
20141005;2;974,150;
20141005;3;880,788;
20141005;4;793,038;
20141005;5;721,138;
20141005;6;684,300;
20141005;7;671,488;
20141005;8;663,088;
20141005;9;582,175;
20141005;10;292,363;
20141005;11;119,638;
20141005;12;152,163;
20141005;13;299,800;
20141005;14;341,413;
20141005;15;285,313;
20141005;16;317,613;
20141005;17;351,238;
20141005;18;406,288;
20141005;19;650,050;
20141005;20;1051,788;
20141005;21;1231,975;
20141005;22;1356,425;
20141005;23;1266,825;
20141005;24;1207,425;
20141006;1;1002,450;
20141006;2;962,013;
20141006;3;862,238;
20141006;4;824,488;
20141006;5;842,313;
20141006;6;866,200;
20141006;7;825,250;
20141006;8;876,338;
20141006;9;729,000;
20141006;10;465,975;
20141006;11;357,375;
20141006;12;488,850;
20141006;13;592,238;
20141006;14;681,288;
20141006;15;750,788;
20141006;16;826,138;
20141006;17;876,738;
20141006;18;917,825;
20141006;19;1267,888;
20141006;20;1532,300;
20141006;21;1577,300;
20141006;22;1674,288;
20141006;23;1610,438;
20141006;24;1693,413;
20141007;1;1733,213;
20141007;2;1709,063;
20141007;3;1701,688;
20141007;4;1675,988;
20141007;5;1702,025;
20141007;6;1761,538;
20141007;7;1839,025;
20141007;8;1811,075;
20141007;9;1773,800;
20141007;10;1748,363;
20141007;11;1754,100;
20141007;12;1874,050;
20141007;13;2097,625;
20141007;14;2319,350;
20141007;15;2454,338;
20141007;16;2567,700;
20141007;17;2589,375;
20141007;18;2709,675;
20141007;19;2751,763;
20141007;20;2865,000;
20141007;21;2908,625;
20141007;22;2752,063;
20141007;23;2607,325;
20141007;24;2478,350;
20141008;1;2361,688;
20141008;2;2288,763;
20141008;3;2225,388;
20141008;4;1977,475;
20141008;5;1780,000;
20141008;6;1737,463;
20141008;7;1635,000;
20141008;8;1451,425;
20141008;9;1236,300;
20141008;10;854,725;
20141008;11;673,288;
20141008;12;543,250;
20141008;13;533,938;
20141008;14;563,013;
20141008;15;625,875;
20141008;16;591,850;
20141008;17;703,975;
20141008;18;784,038;
20141008;19;960,450;
20141008;20;1224,600;
20141008;21;1386,875;
20141008;22;1447,325;
20141008;23;1491,663;
20141008;24;1546,113;
20141009;1;1659,625;
20141009;2;1668,075;
20141009;3;1647,113;
20141009;4;1578,313;
20141009;5;1521,913;
20141009;6;1550,388;
20141009;7;1446,275;
20141009;8;1426,888;
20141009;9;1287,613;
20141009;10;1141,488;
20141009;11;982,000;
20141009;12;878,413;
20141009;13;845,650;
20141009;14;797,588;
20141009;15;741,175;
20141009;16;644,063;
20141009;17;598,575;
20141009;18;694,838;
20141009;19;826,613;
20141009;20;1038,350;
20141009;21;1299,875;
20141009;22;1322,675;
20141009;23;1255,100;
20141009;24;1268,363;
20141010;1;1329,863;
20141010;2;1187,263;
20141010;3;1121,125;
20141010;4;1001,475;
20141010;5;903,825;
20141010;6;877,813;
20141010;7;832,175;
20141010;8;794,675;
20141010;9;672,525;
20141010;10;448,988;
20141010;11;210,588;
20141010;12;161,800;
20141010;13;188,188;
20141010;14;206,588;
20141010;15;222,600;
20141010;16;186,038;
20141010;17;175,188;
20141010;18;192,288;
20141010;19;211,100;
20141010;20;237,113;
20141010;21;243,100;
20141010;22;212,100;
20141010;23;203,238;
20141010;24;159,938;
20141011;1;101,563;
20141011;2;101,925;
20141011;3;129,625;
20141011;4;171,938;
20141011;5;180,425;
20141011;6;233,000;
20141011;7;326,275;
20141011;8;306,688;
20141011;9;242,538;
20141011;10;300,725;
20141011;11;236,750;
20141011;12;181,025;
20141011;13;172,638;
20141011;14;156,838;
20141011;15;187,813;
20141011;16;296,225;
20141011;17;367,488;
20141011;18;498,650;
20141011;19;569,863;
20141011;20;681,325;
20141011;21;715,938;
20141011;22;724,313;
20141011;23;663,400;
20141011;24;562,188;
20141012;1;536,950;
20141012;2;612,513;
20141012;3;658,438;
20141012;4;711,575;
20141012;5;694,350;
20141012;6;763,538;
20141012;7;877,275;
20141012;8;871,563;
20141012;9;814,713;
20141012;10;709,463;
20141012;11;815,700;
20141012;12;714,550;
20141012;13;756,138;
20141012;14;767,913;
20141012;15;651,788;
20141012;16;492,050;
20141012;17;345,488;
20141012;18;237,400;
20141012;19;164,763;
20141012;20;139,725;
20141012;21;182,788;
20141012;22;185,863;
20141012;23;201,738;
20141012;24;229,900;
20141013;1;275,900;
20141013;2;291,175;
20141013;3;280,788;
20141013;4;335,613;
20141013;5;479,550;
20141013;6;652,550;
20141013;7;810,100;
20141013;8;886,513;
20141013;9;978,613;
20141013;10;828,450;
20141013;11;560,938;
20141013;12;471,038;
20141013;13;513,163;
20141013;14;546,313;
20141013;15;542,025;
20141013;16;582,625;
20141013;17;571,975;
20141013;18;570,525;
20141013;19;727,988;
20141013;20;908,863;
20141013;21;1068,813;
20141013;22;1045,263;
20141013;23;979,375;
20141013;24;816,563;
20141014;1;712,038;
20141014;2;509,788;
20141014;3;391,413;
20141014;4;337,825;
20141014;5;315,450;
20141014;6;303,463;
20141014;7;311,500;
20141014;8;350,413;
20141014;9;355,575;
20141014;10;328,938;
20141014;11;299,338;
20141014;12;424,900;
20141014;13;356,988;
20141014;14;402,575;
20141014;15;462,225;
20141014;16;551,525;
20141014;17;636,550;
20141014;18;687,425;
20141014;19;588,388;
20141014;20;550,438;
20141014;21;539,025;
20141014;22;532,600;
20141014;23;547,513;
20141014;24;546,525;
20141015;1;561,550;
20141015;2;528,638;
20141015;3;434,588;
20141015;4;417,888;
20141015;5;354,963;
20141015;6;299,425;
20141015;7;290,888;
20141015;8;214,188;
20141015;9;164,525;
20141015;10;134,850;
20141015;11;203,350;
20141015;12;127,513;
20141015;13;109,350;
20141015;14;112,013;
20141015;15;91,025;
20141015;16;80,838;
20141015;17;84,513;
20141015;18;115,488;
20141015;19;160,625;
20141015;20;206,075;
20141015;21;198,963;
20141015;22;204,988;
20141015;23;178,375;
20141015;24;180,800;
20141016;1;189,875;
20141016;2;164,575;
20141016;3;149,125;
20141016;4;122,838;
20141016;5;107,438;
20141016;6;91,188;
20141016;7;79,725;
20141016;8;55,613;
20141016;9;48,950;
20141016;10;41,500;
20141016;11;35,925;
20141016;12;21,750;
20141016;13;14,888;
20141016;14;12,200;
20141016;15;14,263;
20141016;16;20,700;
20141016;17;47,900;
20141016;18;59,138;
20141016;19;45,963;
20141016;20;58,425;
20141016;21;47,875;
20141016;22;65,263;
20141016;23;48,500;
20141016;24;111,575;
20141017;1;135,025;
20141017;2;123,950;
20141017;3;121,125;
20141017;4;130,363;
20141017;5;128,138;
20141017;6;107,950;
20141017;7;118,375;
20141017;8;131,675;
20141017;9;107,725;
20141017;10;104,438;
20141017;11;87,238;
20141017;12;81,013;
20141017;13;94,175;
20141017;14;109,563;
20141017;15;140,375;
20141017;16;160,825;
20141017;17;204,675;
20141017;18;210,038;
20141017;19;211,700;
20141017;20;291,163;
20141017;21;325,363;
20141017;22;311,275;
20141017;23;306,188;
20141017;24;288,325;
20141018;1;245,600;
20141018;2;232,400;
20141018;3;237,625;
20141018;4;202,438;
20141018;5;175,638;
20141018;6;172,100;
20141018;7;182,138;
20141018;8;165,525;
20141018;9;150,200;
20141018;10;112,788;
20141018;11;96,175;
