Date,Time,Total_Wind_Power(MWh)
20170801,1,1894.612
20170801,2,2105.052
20170801,3,2118.003
20170801,4,2182.338
20170801,5,2078.912
20170801,6,2096.838
20170801,7,1988.323
20170801,8,1654.578
20170801,9,1430.027
20170801,10,1119.477
20170801,11,1063.501
20170801,12,932.589
20170801,13,890.201
20170801,14,716.115
20170801,15,585.249
20170801,16,709.474
20170801,17,705.249
20170801,18,664.059
20170801,19,523.111
20170801,20,629.413
20170801,21,1083.897
20170801,22,1528.450
20170801,23,1846.588
20170801,0,2068.278
20170802,1,2412.418
20170802,2,2174.361
20170802,3,1862.363
20170802,4,1772.065
20170802,5,1679.564
20170802,6,1449.552
20170802,7,918.174
20170802,8,628.215
20170802,9,604.850
20170802,10,590.652
20170802,11,640.998
20170802,12,632.291
20170802,13,662.015
20170802,14,670.938
20170802,15,629.114
20170802,16,538.289
20170802,17,425.474
20170802,18,308.849
20170802,19,212.185
20170802,20,184.723
20170802,21,155.282
20170802,22,146.395
20170802,23,228.401
20170802,0,390.224
20170803,1,498.561
20170803,2,604.739
20170803,3,658.124
20170803,4,700.237
20170803,5,726.487
20170803,6,587.237
20170803,7,548.774
20170803,8,477.712
20170803,9,293.937
20170803,10,201.576
20170803,11,204.922
20170803,12,401.587
20170803,13,781.150
20170803,14,865.817
20170803,15,850.514
20170803,16,1088.990
20170803,17,1477.115
20170803,18,1533.765
20170803,19,1261.152
20170803,20,1311.402
20170803,21,1684.491
20170803,22,2387.818
20170803,23,2586.923
20170803,0,2490.549
20170804,1,2344.500
20170804,2,2162.287
20170804,3,1852.777
20170804,4,1657.699
20170804,5,1438.550
20170804,6,1311.527
20170804,7,1159.388
20170804,8,848.213
20170804,9,848.863
20170804,10,1151.487
20170804,11,1653.587
20170804,12,2100.287
20170804,13,2370.225
20170804,14,2560.177
20170804,15,2367.817
20170804,16,2259.623
20170804,17,2465.139
20170804,18,2407.440
20170804,19,2166.861
20170804,20,1798.513
20170804,21,1401.789
20170804,22,1366.738
20170804,23,1374.636
20170804,0,1663.075
20170805,1,1727.739
20170805,2,1728.640
20170805,3,1698.605
20170805,4,1715.565
20170805,5,1799.812
20170805,6,1757.840
20170805,7,1640.338
20170805,8,1214.026
20170805,9,1313.201
20170805,10,1799.705
20170805,11,2111.613
20170805,12,2277.089
20170805,13,2250.215
20170805,14,2060.713
20170805,15,1658.978
20170805,16,1373.537
20170805,17,974.800
20170805,18,715.991
20170805,19,488.014
20170805,20,249.440
20170805,21,298.675
20170805,22,347.126
20170805,23,493.850
20170805,0,597.989
20170806,1,668.453
20170806,2,776.601
20170806,3,747.504
20170806,4,714.923
20170806,5,795.064
20170806,6,838.240
20170806,7,940.091
20170806,8,1048.299
20170806,9,1217.726
20170806,10,1711.612
20170806,11,1975.224
20170806,12,2287.689
20170806,13,2375.814
20170806,14,2358.638
20170806,15,2359.964
20170806,16,2293.364
20170806,17,2122.414
20170806,18,1853.891
20170806,19,1517.340
20170806,20,1178.616
20170806,21,1017.700
20170806,22,932.265
20170806,23,875.327
20170806,0,868.226
20170807,1,781.650
20170807,2,748.913
20170807,3,715.324
20170807,4,664.986
20170807,5,620.851
20170807,6,593.700
20170807,7,505.722
20170807,8,305.000
20170807,9,133.874
20170807,10,196.586
20170807,11,248.024
20170807,12,285.088
20170807,13,248.910
20170807,14,217.827
20170807,15,170.025
20170807,16,142.227
20170807,17,125.674
