Date,Time,Total_Wind_Power(MWh)
20170101,1,2822.002
20170101,2,2749.399
20170101,3,2691.312
20170101,4,2657.640
20170101,5,2657.615
20170101,6,2562.891
20170101,7,2637.189
20170101,8,2738.224
20170101,9,2828.438
20170101,10,2911.912
20170101,11,2898.837
20170101,12,2854.167
20170101,13,2730.552
20170101,14,2699.314
20170101,15,2682.727
20170101,16,2938.376
20170101,17,3183.239
20170101,18,3340.016
20170101,19,3320.477
20170101,20,3206.552
20170101,21,3073.865
20170101,22,2947.491
20170101,23,2750.938
20170101,0,2531.736
20170102,1,2507.189
20170102,2,2451.013
20170102,3,2486.216
20170102,4,2623.364
20170102,5,2635.875
20170102,6,2668.339
20170102,7,2629.767
20170102,8,2645.062
20170102,9,2555.814
20170102,10,2518.750
20170102,11,2606.664
20170102,12,2508.526
20170102,13,2541.091
20170102,14,2439.827
20170102,15,2489.925
20170102,16,2576.539
20170102,17,2462.062
20170102,18,2481.553
20170102,19,2542.029
20170102,20,2633.739
20170102,21,2713.637
20170102,22,2547.886
20170102,23,2517.877
20170102,0,2579.025
20170103,1,2470.386
20170103,2,2493.373
20170103,3,2358.903
20170103,4,2438.164
20170103,5,2451.328
20170103,6,2383.863
20170103,7,2432.919
20170103,8,2470.614
20170103,9,2333.062
20170103,10,2070.015
20170103,11,2146.889
20170103,12,2341.768
20170103,13,2467.701
20170103,14,2536.315
20170103,15,2808.164
20170103,16,3159.939
20170103,17,3550.139
20170103,18,3999.228
20170103,19,4376.041
20170103,20,4698.303
20170103,21,4887.951
20170103,22,5005.752
20170103,23,4977.103
20170103,0,4963.078
20170104,1,4976.199
20170104,2,4920.362
20170104,3,4875.415
20170104,4,4831.250
20170104,5,4802.065
20170104,6,4746.491
20170104,7,4714.547
20170104,8,4656.787
20170104,9,4635.936
20170104,10,4600.552
20170104,11,4696.840
20170104,12,4665.702
20170104,13,4643.764
20170104,14,4518.666
20170104,15,4487.138
20170104,16,4529.117
20170104,17,4626.212
20170104,18,4640.968
20170104,19,4558.926
20170104,20,4621.141
20170104,21,4695.100
20170104,22,4719.151
20170104,23,4716.952
20170104,0,4696.977
20170105,1,4672.218
20170105,2,4623.300
20170105,3,4575.010
20170105,4,4588.664
20170105,5,4509.614
20170105,6,4386.126
20170105,7,4265.090
20170105,8,4117.362
20170105,9,3980.102
20170105,10,3780.964
20170105,11,3726.139
20170105,12,3843.867
20170105,13,3902.799
20170105,14,3938.002
20170105,15,3728.326
20170105,16,3463.739
20170105,17,3229.201
20170105,18,3134.639
20170105,19,2898.212
20170105,20,2648.363
20170105,21,2251.701
20170105,22,2133.778
20170105,23,2056.279
20170105,0,1813.423
20170106,1,1779.077
