Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20190901;1;2633,220;
20190901;2;2561,629;
20190901;3;2475,691;
20190901;4;2409,628;
20190901;5;2344,127;
20190901;6;2272,377;
20190901;7;2310,939;
20190901;8;2031,157;
20190901;9;1433,205;
20190901;10;1206,069;
20190901;11;1281,878;
20190901;12;1383,002;
20190901;13;1456,390;
20190901;14;1511,619;
20190901;15;1540,128;
20190901;16;1512,026;
20190901;17;1310,830;
20190901;18;1062,428;
20190901;19;1094,227;
20190901;20;1493,166;
20190901;21;1950,080;
20190901;22;2004,165;
20190901;23;2010,291;
20190901;24;2015,501;
20190902;1;1860,517;
20190902;2;1622,954;
20190902;3;1453,517;
20190902;4;1500,514;
20190902;5;1462,165;
20190902;6;1407,589;
20190902;7;1320,207;
20190902;8;1160,468;
20190902;9;1182,641;
20190902;10;1139,992;
20190902;11;1315,733;
20190902;12;1340,463;
20190902;13;1312,725;
20190902;14;1395,676;
20190902;15;1391,003;
20190902;16;1272,840;
20190902;17;1195,726;
20190902;18;947,887;
20190902;19;768,915;
20190902;20;619,228;
20190902;21;623,878;
20190902;22;647,581;
20190902;23;733,679;
20190902;24;803,463;
20190903;1;821,190;
20190903;2;743,940;
20190903;3;709,886;
20190903;4;667,062;
20190903;5;693,040;
20190903;6;747,301;
20190903;7;702,690;
20190903;8;618,927;
20190903;9;448,702;
20190903;10;386,537;
20190903;11;561,686;
20190903;12;770,712;
20190903;13;882,852;
20190903;14;944,365;
20190903;15;1114,952;
20190903;16;1151,268;
20190903;17;1114,212;
20190903;18;1118,863;
20190903;19;812,877;
20190903;20;725,801;
20190903;21;710,314;
20190903;22;939,841;
20190903;23;1136,662;
20190903;24;1300,030;
20190904;1;1295,952;
20190904;2;1328,863;
20190904;3;1265,288;
20190904;4;1141,490;
20190904;5;1100,124;
20190904;6;961,701;
20190904;7;843,914;
20190904;8;581,589;
20190904;9;253,174;
20190904;10;193,236;
20190904;11;289,502;
20190904;12;371,964;
20190904;13;356,610;
20190904;14;313,675;
20190904;15;275,238;
20190904;16;273,839;
20190904;17;283,577;
20190904;18;328,964;
20190904;19;373,590;
20190904;20;647,282;
20190904;21;1356,877;
20190904;22;2100,204;
20190904;23;2473,779;
20190904;24;2729,680;
20190905;1;2759,815;
20190905;2;2587,831;
20190905;3;2375,263;
20190905;4;2197,691;
20190905;5;2169,364;
20190905;6;1962,561;
20190905;7;1758,443;
20190905;8;1440,453;
20190905;9;825,694;
20190905;10;654,377;
20190905;11;751,327;
20190905;12;916,225;
20190905;13;1015,542;
20190905;14;1161,063;
20190905;15;1192,143;
20190905;16;1276,402;
20190905;17;1538,677;
20190905;18;1833,117;
20190905;19;2036,811;
20190905;20;1972,389;
20190905;21;2006,328;
20190905;22;1917,901;
20190905;23;2003,341;
20190905;24;2148,150;
20190906;1;2186,011;
20190906;2;2147,604;
20190906;3;2149,742;
20190906;4;2309,806;
20190906;5;2174,380;
20190906;6;2095,978;
20190906;7;1991,590;
20190906;8;1522,051;
20190906;9;1042,130;
20190906;10;825,867;
20190906;11;863,038;
20190906;12;801,101;
20190906;13;698,715;
20190906;14;541,428;
20190906;15;378,237;
20190906;16;273,236;
20190906;17;166,076;
20190906;18;98,623;
20190906;19;94,199;
20190906;20;128,373;
20190906;21;200,174;
20190906;22;307,353;
20190906;23;446,087;
20190906;24;584,377;
20190907;1;731,916;
20190907;2;982,705;
20190907;3;1154,390;
20190907;4;1205,852;
20190907;5;1302,264;
20190907;6;1341,992;
20190907;7;1337,216;
20190907;8;1134,714;
20190907;9;834,941;
20190907;10;385,690;
20190907;11;235,175;
20190907;12;272,478;
20190907;13;357,000;
20190907;14;498,227;
20190907;15;551,687;
20190907;16;573,051;
20190907;17;694,264;
20190907;18;676,888;
20190907;19;776,117;
20190907;20;885,650;
20190907;21;928,811;
20190907;22;899,695;
20190907;23;846,610;
20190907;24;759,123;
20190908;1;610,835;
20190908;2;528,059;
20190908;3;440,863;
20190908;4;400,576;
20190908;5;318,149;
20190908;6;313,063;
20190908;7;306,661;
20190908;8;251,273;
20190908;9;201,922;
20190908;10;183,933;
20190908;11;204,261;
20190908;12;200,675;
20190908;13;195,273;
20190908;14;216,923;
20190908;15;249,759;
20190908;16;281,126;
20190908;17;317,226;
20190908;18;293,435;
20190908;19;271,763;
20190908;20;271,763;
20190908;21;323,561;
20190908;22;462,502;
20190908;23;554,163;
20190908;24;577,740;
20190909;1;545,153;
20190909;2;636,514;
20190909;3;716,588;
20190909;4;720,690;
20190909;5;889,116;
20190909;6;932,790;
20190909;7;1022,864;
20190909;8;1045,043;
20190909;9;958,764;
20190909;10;963,917;
20190909;11;949,803;
20190909;12;983,939;
20190909;13;1062,039;
20190909;14;1182,052;
20190909;15;1251,014;
20190909;16;1292,852;
20190909;17;1233,802;
20190909;18;1067,654;
20190909;19;1142,753;
20190909;20;1352,814;
20190909;21;1596,990;
20190909;22;1472,114;
20190909;23;1408,728;
20190909;24;1258,640;
20190910;1;1200,702;
20190910;2;1224,056;
20190910;3;1619,613;
20190910;4;1945,089;
20190910;5;2122,227;
20190910;6;2539,265;
20190910;7;2763,068;
20190910;8;2961,315;
20190910;9;3215,476;
20190910;10;3340,440;
20190910;11;3507,590;
20190910;12;3670,642;
20190910;13;3812,605;
20190910;14;3820,831;
20190910;15;3885,424;
20190910;16;3777,642;
20190910;17;3602,030;
20190910;18;3315,054;
20190910;19;2922,145;
20190910;20;2879,302;
20190910;21;3132,180;
20190910;22;3267,799;
20190910;23;3217,840;
20190910;24;3044,840;
20190911;1;2859,790;
20190911;2;2657,204;
20190911;3;2494,490;
20190911;4;2350,338;
20190911;5;2155,702;
20190911;6;1835,552;
20190911;7;1575,452;
20190911;8;1323,032;
20190911;9;925,101;
20190911;10;661,300;
20190911;11;792,664;
20190911;12;1027,915;
20190911;13;975,625;
20190911;14;930,330;
20190911;15;842,701;
20190911;16;796,701;
20190911;17;738,830;
20190911;18;612,517;
20190911;19;458,078;
20190911;20;596,098;
20190911;21;868,912;
20190911;22;1161,515;
20190911;23;1431,576;
20190911;24;1628,026;
20190912;1;1795,203;
20190912;2;1915,753;
20190912;3;1814,930;
20190912;4;1707,930;
20190912;5;1820,243;
20190912;6;1872,204;
20190912;7;1777,693;
20190912;8;1731,966;
20190912;9;1191,053;
20190912;10;966,694;
20190912;11;1126,155;
20190912;12;1314,903;
20190912;13;1441,203;
20190912;14;1413,604;
20190912;15;1397,892;
20190912;16;1296,013;
20190912;17;1080,551;
20190912;18;780,990;
20190912;19;613,143;
20190912;20;680,155;
20190912;21;931,054;
20190912;22;1174,146;
20190912;23;1386,638;
20190912;24;1542,990;
20190913;1;1549,232;
20190913;2;1537,940;
20190913;3;1520,342;
20190913;4;1605,940;
20190913;5;1769,429;
20190913;6;1891,991;
20190913;7;1992,627;
20190913;8;1976,814;
20190913;9;1727,807;
20190913;10;1780,204;
20190913;11;2305,352;
20190913;12;3005,992;
20190913;13;3433,467;
20190913;14;3552,957;
20190913;15;3702,682;
20190913;16;3740,455;
20190913;17;3565,293;
20190913;18;3283,416;
20190913;19;2946,441;
20190913;20;2613,850;
20190913;21;2524,418;
20190913;22;2527,216;
20190913;23;2634,100;
20190913;24;2529,768;
20190914;1;2470,246;
20190914;2;2338,177;
20190914;3;2118,850;
20190914;4;1997,877;
20190914;5;1839,682;
20190914;6;1850,252;
20190914;7;1846,612;
20190914;8;1603,675;
20190914;9;1106,477;
20190914;10;1163,751;
20190914;11;1465,691;
20190914;12;1500,780;
20190914;13;1509,785;
20190914;14;1543,638;
20190914;15;1700,613;
20190914;16;1792,225;
20190914;17;1633,627;
20190914;18;1243,477;
20190914;19;905,386;
20190914;20;793,651;
20190914;21;828,238;
20190914;22;880,403;
20190914;23;885,810;
20190914;24;926,248;
20190915;1;965,888;
20190915;2;1109,502;
20190915;3;1350,418;
20190915;4;1698,063;
20190915;5;2132,004;
20190915;6;2668,403;
20190915;7;3037,442;
20190915;8;3339,555;
20190915;9;3072,941;
20190915;10;2710,829;
20190915;11;3022,691;
20190915;12;3585,147;
20190915;13;3898,405;
20190915;14;4184,916;
20190915;15;4203,106;
20190915;16;4111,316;
20190915;17;3961,475;
20190915;18;3633,164;
20190915;19;3625,840;
20190915;20;3752,145;
20190915;21;3843,116;
20190915;22;3887,868;
20190915;23;3985,229;
20190915;24;3945,620;
20190916;1;3937,805;
20190916;2;3971,641;
20190916;3;3850,192;
20190916;4;3501,001;
20190916;5;3418,653;
20190916;6;3501,128;
20190916;7;3385,466;
20190916;8;3223,976;
20190916;9;3206,466;
20190916;10;3307,238;
20190916;11;3483,851;
20190916;12;3649,654;
20190916;13;3652,254;
20190916;14;3757,415;
20190916;15;3718,190;
20190916;16;3613,067;
20190916;17;3375,558;
20190916;18;2991,517;
20190916;19;2554,352;
20190916;20;2436,553;
20190916;21;2569,280;
20190916;22;2805,077;
20190916;23;2735,017;
20190916;24;2745,242;
20190917;1;2788,426;
20190917;2;2647,492;
20190917;3;2555,893;
20190917;4;2479,628;
20190917;5;2336,553;
20190917;6;2310,586;
20190917;7;2432,004;
20190917;8;2384,389;
20190917;9;2208,578;
20190917;10;2530,944;
20190917;11;3263,677;
20190917;12;3748,926;
20190917;13;3916,530;
20190917;14;4131,231;
20190917;15;4271,694;
20190917;16;4099,765;
20190917;17;3901,401;
20190917;18;3878,060;
