Date,Time,Total_Wind_Power(MWh)
20130901,1,1026.975
20130901,2,1058.200
20130901,3,1031.188
20130901,4,1196.838
20130901,5,1189.050
20130901,6,1107.663
20130901,7,1173.825
20130901,8,1113.088
20130901,9,1304.963
20130901,10,1534.175
20130901,11,1614.863
20130901,12,1622.963
20130901,13,1683.575
20130901,14,1799.550
20130901,15,1612.413
20130901,16,1546.625
20130901,17,1552.763
20130901,18,1355.525
20130901,19,1248.513
20130901,20,1060.200
20130901,21,1119.775
20130901,22,1372.363
20130901,23,1380.050
20130901,0,1485.600
20130902,1,1634.525
20130902,2,1669.975
20130902,3,1753.625
20130902,4,1786.863
20130902,5,1833.425
20130902,6,1842.200
20130902,7,1926.500
20130902,8,2050.663
20130902,9,2134.013
20130902,10,2317.025
20130902,11,2479.875
20130902,12,2525.075
20130902,13,2588.813
20130902,14,2633.888
20130902,15,2661.438
20130902,16,2663.013
20130902,17,2593.213
20130902,18,2367.250
20130902,19,2153.650
20130902,20,2084.338
20130902,21,1925.150
20130902,22,1850.550
20130902,23,1921.375
20130902,0,1810.300
20130903,1,1711.988
20130903,2,1733.300
20130903,3,1768.350
20130903,4,1770.200
20130903,5,1732.175
20130903,6,1673.925
20130903,7,1550.700
20130903,8,1415.050
20130903,9,1322.963
20130903,10,1309.900
20130903,11,1295.500
20130903,12,1294.925
20130903,13,1180.163
20130903,14,1133.763
20130903,15,1105.188
20130903,16,995.175
20130903,17,933.763
20130903,18,791.075
20130903,19,596.775
20130903,20,471.025
20130903,21,469.863
20130903,22,465.263
20130903,23,492.113
20130903,0,468.013
20130904,1,416.088
20130904,2,335.138
20130904,3,276.300
20130904,4,271.125
20130904,5,235.850
20130904,6,167.125
20130904,7,164.838
20130904,8,126.750
20130904,9,61.213
20130904,10,42.363
20130904,11,56.288
20130904,12,64.363
20130904,13,66.088
20130904,14,55.238
20130904,15,48.088
20130904,16,35.600
20130904,17,34.913
20130904,18,32.838
20130904,19,35.550
20130904,20,60.025
20130904,21,75.800
20130904,22,94.450
20130904,23,111.988
20130904,0,113.850
20130905,1,124.013
20130905,2,133.025
20130905,3,116.138
20130905,4,95.050
20130905,5,80.500
20130905,6,89.238
20130905,7,121.338
20130905,8,122.513
20130905,9,57.388
20130905,10,14.063
20130905,11,55.113
20130905,12,70.988
20130905,13,95.213
20130905,14,109.513
20130905,15,119.563
20130905,16,124.938
20130905,17,135.800
20130905,18,136.938
20130905,19,157.863
20130905,20,311.525
20130905,21,513.988
20130905,22,703.213
20130905,23,841.413
20130905,0,905.113
20130906,1,864.763
20130906,2,822.838
20130906,3,823.500
20130906,4,835.200
20130906,5,781.563
20130906,6,806.663
20130906,7,790.050
20130906,8,620.538
20130906,9,353.925
20130906,10,224.238
20130906,11,331.763
20130906,12,504.813
20130906,13,541.863
20130906,14,526.638
20130906,15,481.725
20130906,16,472.975
20130906,17,444.075
20130906,18,440.063
20130906,19,444.875
20130906,20,582.450
20130906,21,762.363
20130906,22,902.588
20130906,23,960.988
20130906,0,915.488
20130907,1,862.650
20130907,2,847.175
20130907,3,830.900
20130907,4,710.563
20130907,5,669.325
20130907,6,646.900
20130907,7,594.213
20130907,8,498.850
20130907,9,274.588
20130907,10,152.163
20130907,11,206.963
20130907,12,289.763
20130907,13,279.725
20130907,14,227.025
20130907,15,204.663
20130907,16,210.050
20130907,17,220.488
20130907,18,255.088
20130907,19,317.838
20130907,20,553.500
20130907,21,781.475
20130907,22,954.650
20130907,23,1070.588
20130907,0,1129.175
20130908,1,1120.850
20130908,2,1150.363
20130908,3,1183.738
20130908,4,1147.438
20130908,5,1097.588
20130908,6,983.075
20130908,7,1033.463
20130908,8,983.188
20130908,9,573.625
20130908,10,302.388
20130908,11,433.000
20130908,12,736.538
20130908,13,947.338
20130908,14,879.388
20130908,15,836.838
20130908,16,881.113
20130908,17,839.350
20130908,18,740.963
20130908,19,736.313
20130908,20,963.650
20130908,21,1267.675
20130908,22,1418.875
20130908,23,1331.075
20130908,0,1342.088
20130909,1,1380.238
20130909,2,1415.575
20130909,3,1399.938
20130909,4,1336.775
20130909,5,1327.575
20130909,6,1361.613
20130909,7,1399.375
20130909,8,1191.713
20130909,9,861.888
20130909,10,768.350
20130909,11,897.125
20130909,12,1049.850
20130909,13,1040.300
20130909,14,1133.038
20130909,15,1015.425
20130909,16,1051.850
20130909,17,936.188
20130909,18,990.550
20130909,19,962.813
20130909,20,904.488
20130909,21,770.850
20130909,22,723.438
20130909,23,754.413
20130909,0,749.325
20130910,1,692.113
20130910,2,593.925
20130910,3,491.850
20130910,4,479.450
20130910,5,408.063
20130910,6,330.175
20130910,7,289.925
20130910,8,226.988
20130910,9,120.300
20130910,10,59.738
20130910,11,86.488
20130910,12,191.625
20130910,13,247.475
20130910,14,266.850
20130910,15,224.825
20130910,16,196.000
20130910,17,214.938
20130910,18,229.500
20130910,19,306.913
20130910,20,441.425
20130910,21,608.913
20130910,22,694.013
20130910,23,667.900
20130910,0,694.500
20130911,1,536.100
20130911,2,482.125
20130911,3,469.513
20130911,4,431.963
20130911,5,407.588
20130911,6,331.163
20130911,7,279.900
20130911,8,252.038
20130911,9,147.450
20130911,10,76.038
20130911,11,72.863
20130911,12,81.863
20130911,13,88.650
20130911,14,102.288
20130911,15,125.925
20130911,16,126.313
20130911,17,144.588
20130911,18,159.125
20130911,19,161.150
20130911,20,132.338
20130911,21,180.250
20130911,22,200.288
20130911,23,229.325
20130911,0,200.013
20130912,1,182.863
20130912,2,177.263
20130912,3,116.238
20130912,4,61.800
20130912,5,46.150
20130912,6,33.225
20130912,7,31.038
20130912,8,40.900
20130912,9,43.650
20130912,10,42.500
20130912,11,28.150
20130912,12,32.688
20130912,13,50.013
20130912,14,39.475
20130912,15,45.963
20130912,16,78.188
20130912,17,120.188
20130912,18,106.213
20130912,19,121.838
20130912,20,153.075
20130912,21,174.488
20130912,22,197.538
20130912,23,180.763
20130912,0,217.463
20130913,1,204.263
20130913,2,179.388
20130913,3,204.750
20130913,4,222.675
20130913,5,223.325
20130913,6,263.613
20130913,7,295.800
20130913,8,363.338
20130913,9,379.288
20130913,10,391.300
20130913,11,452.700
20130913,12,456.263
20130913,13,434.050
20130913,14,394.238
20130913,15,407.188
20130913,16,441.325
20130913,17,426.525
20130913,18,427.663
20130913,19,409.050
20130913,20,428.988
20130913,21,484.238
20130913,22,613.250
20130913,23,705.050
20130913,0,826.688
20130914,1,876.113
20130914,2,900.538
20130914,3,889.050
20130914,4,827.888
20130914,5,758.038
20130914,6,761.763
20130914,7,717.775
20130914,8,594.100
20130914,9,432.813
20130914,10,382.638
20130914,11,338.238
20130914,12,267.388
20130914,13,214.438
20130914,14,185.613
20130914,15,157.588
20130914,16,136.275
20130914,17,142.913
20130914,18,100.288
20130914,19,64.375
20130914,20,60.688
20130914,21,68.475
20130914,22,77.938
20130914,23,90.275
20130914,0,90.463
20130915,1,108.900
20130915,2,131.225
20130915,3,141.513
20130915,4,162.475
20130915,5,167.925
20130915,6,175.000
20130915,7,187.838
20130915,8,188.738
20130915,9,126.175
20130915,10,90.600
20130915,11,91.138
20130915,12,125.163
20130915,13,148.500
20130915,14,207.200
20130915,15,250.138
20130915,16,200.938
20130915,17,230.488
20130915,18,273.025
20130915,19,225.863
20130915,20,188.163
20130915,21,182.788
20130915,22,235.000
20130915,23,258.863
20130915,0,237.400
20130916,1,213.250
20130916,2,228.488
20130916,3,220.525
20130916,4,224.288
20130916,5,246.675
20130916,6,284.275
20130916,7,362.863
20130916,8,401.963
20130916,9,386.038
20130916,10,453.213
20130916,11,568.163
20130916,12,683.050
20130916,13,648.038
20130916,14,619.188
20130916,15,575.863
20130916,16,449.175
20130916,17,406.750
20130916,18,297.075
20130916,19,216.613
20130916,20,228.163
20130916,21,249.088
20130916,22,241.225
20130916,23,221.000
20130916,0,211.725
20130917,1,157.625
20130917,2,115.238
20130917,3,79.863
20130917,4,164.188
20130917,5,105.075
20130917,6,211.475
20130917,7,291.838
20130917,8,417.175
20130917,9,462.250
20130917,10,483.163
20130917,11,587.563
20130917,12,646.738
20130917,13,642.463
20130917,14,657.538
20130917,15,592.088
20130917,16,681.450
20130917,17,820.313
20130917,18,728.238
20130917,19,662.475
20130917,20,568.325
20130917,21,667.400
20130917,22,798.250
20130917,23,888.200
20130917,0,905.775
20130918,1,848.975
20130918,2,748.963
20130918,3,712.888
20130918,4,555.775
20130918,5,448.575
20130918,6,348.225
20130918,7,292.163
20130918,8,236.188
20130918,9,170.988
20130918,10,96.075
20130918,11,113.463
20130918,12,235.175
20130918,13,316.513
20130918,14,259.638
20130918,15,225.063
20130918,16,196.075
20130918,17,153.000
20130918,18,136.588
20130918,19,201.288
20130918,20,249.688
20130918,21,273.238
20130918,22,307.963
20130918,23,364.450
20130918,0,381.513
20130919,1,367.175
20130919,2,323.850
20130919,3,308.738
20130919,4,295.475
20130919,5,330.450
20130919,6,405.688
20130919,7,475.438
20130919,8,515.288
20130919,9,497.050
20130919,10,487.275
20130919,11,467.750
20130919,12,564.500
20130919,13,701.463
20130919,14,797.700
20130919,15,837.425
20130919,16,767.500
20130919,17,839.213
20130919,18,720.338
20130919,19,597.638
20130919,20,686.400
20130919,21,815.275
20130919,22,875.875
20130919,23,945.063
20130919,0,920.325
20130920,1,1005.438
20130920,2,960.575
20130920,3,832.050
20130920,4,769.488
20130920,5,720.963
20130920,6,611.600
20130920,7,605.475
20130920,8,522.175
20130920,9,389.213
20130920,10,306.963
20130920,11,279.525
20130920,12,312.875
20130920,13,332.988
20130920,14,321.050
20130920,15,273.975
20130920,16,273.313
20130920,17,303.063
20130920,18,281.500
20130920,19,231.863
20130920,20,249.100
20130920,21,304.688
20130920,22,357.175
20130920,23,414.363
20130920,0,431.563
20130921,1,472.388
20130921,2,530.638
20130921,3,572.700
20130921,4,594.688
20130921,5,628.200
20130921,6,632.925
20130921,7,632.738
20130921,8,612.275
20130921,9,455.825
20130921,10,299.625
20130921,11,356.500
20130921,12,490.538
20130921,13,615.038
20130921,14,676.700
20130921,15,686.663
20130921,16,651.325
20130921,17,648.163
20130921,18,674.950
20130921,19,612.725
