Date,Time,Total_Wind_Power(MWh)
20150701,1,314.022
20150701,2,306.274
20150701,3,283.449
20150701,4,251.761
20150701,5,206.421
20150701,6,208.147
20150701,7,186.959
20150701,8,70.735
20150701,9,46.144
20150701,10,48.594
20150701,11,65.720
20150701,12,84.809
20150701,13,115.947
20150701,14,164.772
20150701,15,223.885
20150701,16,299.120
20150701,17,364.171
20150701,18,427.910
20150701,19,424.364
20150701,20,422.634
20150701,21,516.399
20150701,22,762.135
20150701,23,984.961
20150701,0,1082.051
20150702,1,1023.825
20150702,2,1083.775
20150702,3,1051.250
20150702,4,1002.525
20150702,5,1030.613
20150702,6,999.513
20150702,7,699.563
20150702,8,269.963
20150702,9,116.463
20150702,10,100.663
20150702,11,196.163
20150702,12,281.913
20150702,13,322.838
20150702,14,317.438
20150702,15,334.863
20150702,16,361.250
20150702,17,369.863
20150702,18,370.600
20150702,19,389.050
20150702,20,414.475
20150702,21,562.438
20150702,22,922.975
20150702,23,1320.988
20150702,0,1553.888
20150703,1,1614.364
20150703,2,1579.978
20150703,3,1482.600
20150703,4,1371.209
20150703,5,1183.909
20150703,6,1045.310
20150703,7,739.750
20150703,8,277.972
20150703,9,96.861
20150703,10,121.809
20150703,11,205.797
20150703,12,264.761
20150703,13,292.636
20150703,14,263.200
20150703,15,267.850
20150703,16,251.688
20150703,17,220.797
20150703,18,178.374
20150703,19,151.999
20150703,20,162.361
20150703,21,282.012
20150703,22,454.847
20150703,23,733.598
20150703,0,999.775
20150704,1,1141.987
20150704,2,1173.961
20150704,3,1254.112
20150704,4,1151.376
20150704,5,920.790
20150704,6,753.925
20150704,7,548.722
20150704,8,283.474
20150704,9,67.373
20150704,10,54.045
20150704,11,74.423
20150704,12,52.159
20150704,13,31.468
20150704,14,26.181
20150704,15,22.804
20150704,16,15.479
20150704,17,11.980
20150704,18,15.905
20150704,19,21.831
20150704,20,48.542
20150704,21,134.269
20150704,22,232.160
20150704,23,268.871
20150704,0,322.571
20150705,1,281.159
20150705,2,291.999
20150705,3,338.559
20150705,4,404.260
20150705,5,353.871
20150705,6,244.036
20150705,7,230.998
20150705,8,127.958
20150705,9,95.095
20150705,10,42.769
20150705,11,39.733
20150705,12,88.781
20150705,13,74.484
20150705,14,69.432
20150705,15,79.060
20150705,16,58.374
20150705,17,45.758
20150705,18,40.217
20150705,19,46.968
20150705,20,72.633
20150705,21,137.322
20150705,22,226.232
20150705,23,359.615
20150705,0,563.750
20150706,1,895.226
20150706,2,1064.827
20150706,3,1049.411
20150706,4,1208.075
20150706,5,984.236
20150706,6,1021.238
20150706,7,820.603
20150706,8,619.613
20150706,9,674.110
20150706,10,954.737
20150706,11,1091.687
20150706,12,1332.736
20150706,13,1634.060
20150706,14,1913.987
20150706,15,2055.826
20150706,16,2164.826
20150706,17,2161.264
20150706,18,2081.409
20150706,19,1797.763
20150706,20,1359.925
20150706,21,1049.327
20150706,22,876.185
20150706,23,715.435
20150706,0,611.636
20150707,1,571.174
20150707,2,580.788
20150707,3,561.234
20150707,4,573.749
20150707,5,546.110
20150707,6,543.564
20150707,7,480.060
20150707,8,340.786
20150707,9,380.872
20150707,10,640.612
20150707,11,917.185
20150707,12,867.150
20150707,13,734.697
20150707,14,587.049
20150707,15,483.486
20150707,16,401.998
20150707,17,349.925
20150707,18,295.387
20150707,19,206.548
20150707,20,122.463
20150707,21,190.535
20150707,22,471.761
20150707,23,976.400
20150707,0,1254.150
20150708,1,1477.713
20150708,2,1746.550
20150708,3,1739.913
20150708,4,1656.900
20150708,5,1466.263
20150708,6,1447.625
20150708,7,1663.763
20150708,8,1774.963
20150708,9,1969.738
20150708,10,1917.188
20150708,11,1810.600
20150708,12,1704.838
20150708,13,1578.813
20150708,14,1503.088
20150708,15,1458.088
20150708,16,1420.838
20150708,17,1469.650
20150708,18,1480.813
20150708,19,1503.588
20150708,20,1335.863
20150708,21,1288.013
20150708,22,1140.575
20150708,23,1167.263
20150708,0,1360.325
20150709,1,1465.963
20150709,2,1552.125
20150709,3,1649.700
20150709,4,1697.763
20150709,5,1671.788
20150709,6,1702.813
20150709,7,1377.013
20150709,8,1237.425
20150709,9,1361.188
20150709,10,1681.438
20150709,11,1930.275
20150709,12,2000.638
20150709,13,2071.388
20150709,14,2094.863
20150709,15,2340.125
20150709,16,2333.075
20150709,17,2498.475
20150709,18,2660.113
20150709,19,2616.988
20150709,20,2660.438
20150709,21,2602.413
20150709,22,2605.275
20150709,23,2802.650
20150709,0,2933.488
20150710,1,2993.438
20150710,2,3045.475
20150710,3,2987.450
20150710,4,2916.438
20150710,5,2923.525
20150710,6,2878.050
20150710,7,2812.550
20150710,8,2932.475
20150710,9,3126.275
20150710,10,3186.300
20150710,11,3183.775
20150710,12,3258.538
20150710,13,3301.625
20150710,14,3270.388
20150710,15,3300.800
20150710,16,3309.425
20150710,17,3250.600
20150710,18,3047.950
20150710,19,2760.138
20150710,20,2500.538
20150710,21,2230.675
20150710,22,2191.813
20150710,23,2113.275
20150710,0,2027.350
20150711,1,1967.575
20150711,2,1937.475
20150711,3,1708.988
20150711,4,1485.200
20150711,5,1352.050
20150711,6,1172.188
20150711,7,991.650
20150711,8,900.863
20150711,9,995.063
20150711,10,1175.575
20150711,11,1159.925
20150711,12,1094.375
20150711,13,1002.825
20150711,14,1017.013
20150711,15,968.025
20150711,16,838.713
20150711,17,757.450
20150711,18,648.463
20150711,19,519.638
20150711,20,353.213
20150711,21,255.513
20150711,22,248.900
20150711,23,232.263
20150711,0,194.450
20150712,1,179.913
20150712,2,178.900
20150712,3,190.300
20150712,4,156.238
20150712,5,169.825
20150712,6,173.300
20150712,7,200.325
20150712,8,148.463
20150712,9,99.888
20150712,10,115.400
20150712,11,143.538
20150712,12,143.913
20150712,13,130.650
20150712,14,151.138
20150712,15,229.863
20150712,16,243.513
20150712,17,311.313
20150712,18,284.975
20150712,19,303.875
20150712,20,302.938
20150712,21,335.975
20150712,22,292.013
20150712,23,385.600
20150712,0,462.100
20150713,1,558.200
20150713,2,629.575
20150713,3,605.588
20150713,4,539.800
20150713,5,525.400
20150713,6,534.938
20150713,7,502.463
20150713,8,457.500
20150713,9,469.188
20150713,10,507.638
20150713,11,644.313
20150713,12,741.063
20150713,13,809.325
20150713,14,928.713
20150713,15,954.125
20150713,16,990.500
20150713,17,846.900
20150713,18,739.213
20150713,19,688.525
20150713,20,705.875
20150713,21,537.013
20150713,22,563.300
20150713,23,644.775
20150713,0,677.325
20150714,1,791.713
20150714,2,729.388
20150714,3,691.413
20150714,4,614.050
20150714,5,563.600
20150714,6,453.150
20150714,7,317.338
20150714,8,227.375
20150714,9,258.238
20150714,10,304.213
20150714,11,345.175
20150714,12,358.638
20150714,13,416.525
20150714,14,437.963
20150714,15,520.950
20150714,16,489.550
20150714,17,456.375
20150714,18,456.663
20150714,19,344.563
20150714,20,280.388
20150714,21,219.588
20150714,22,286.338
20150714,23,347.825
20150714,0,362.963
20150715,1,477.400
20150715,2,516.175
20150715,3,504.613
20150715,4,470.463
20150715,5,468.888
20150715,6,515.675
20150715,7,554.438
20150715,8,419.363
20150715,9,433.788
20150715,10,563.150
20150715,11,671.425
